# z Ex Hy
0.000000 22150037.987264 22150037.987264
1.000000 3486673.237190 3486673.237190
2.000000 -21637334.666337 -21637334.666337
3.000000 -4417179.140937 -4417179.140937
4.000000 20087549.231321 20087549.231321
5.000000 6021508.818574 6021508.818574
6.000000 -17504499.030205 -17504499.030205
7.000000 -7839192.519148 -7839192.519148
8.000000 13985624.614524 13985624.614524
9.000000 9302528.990773 9302528.990773
10.000000 -9806451.169541 -9806451.169541
11.000000 -9886878.171797 -9886878.171797
12.000000 5451731.639499 5451731.639499
13.000000 9283333.843496 9283333.843496
14.000000 -1546800.440384 -1546800.440384
15.000000 -7532711.793208 -7532711.793208
16.000000 -1314149.792035 -1314149.792035
17.000000 5046842.337905 5046842.337905
18.000000 2782964.175695 2782964.175695
19.000000 -2474962.124529 -2474962.124529
20.000000 -2907364.169821 -2907364.169821
21.000000 449880.833835 449880.833835
22.000000 2116786.560571 2116786.560571
23.000000 669235.924957 669235.924957
24.000000 -1027382.877861 -1027382.877861
25.000000 -916439.980415 -916439.980415
26.000000 163610.648065 163610.648065
27.000000 631382.777557 631382.777557
28.000000 242828.107956 242828.107956
29.000000 -227054.764062 -227054.764062
30.000000 -264720.438079 -264720.438079
31.000000 -29717.911955 -29717.911955
32.000000 124296.512869 124296.512869
33.000000 91727.407183 91727.407183
34.000000 -6376.141098 -6376.141098
35.000000 -50233.700731 -50233.700731
36.000000 -29809.873810 -29809.873810
37.000000 4213.410946 4213.410946
38.000000 16921.150208 16921.150208
39.000000 9867.204693 9867.204693
40.000000 -600.309181 -600.309181
41.000000 -4779.520021 -4779.520021
42.000000 -3270.528686 -3270.528686
43.000000 -447.898005 -447.898005
44.000000 1001.412107 1001.412107
45.000000 958.452635 958.452635
46.000000 364.950842 364.950842
47.000000 -73.858293 -73.858293
48.000000 -196.720123 -196.720123
49.000000 -136.085723 -136.085723
50.000000 -44.464833 -44.464833
51.000000 9.267558 9.267558
52.000000 23.039352 23.039352
53.000000 17.124910 17.124910
54.000000 7.784674 7.784674
55.000000 1.608189 1.608189
56.000000 -0.953025 -0.953025
57.000000 -1.405243 -1.405243
58.000000 -1.084018 -1.084018
59.000000 -0.672228 -0.672228
60.000000 -0.384221 -0.384221
61.000000 -0.226133 -0.226133
62.000000 -0.151093 -0.151093
63.000000 -0.118287 -0.118287
64.000000 -0.103822 -0.103822
65.000000 -0.096294 -0.096294
66.000000 -0.090984 -0.090984
67.000000 -0.086154 -0.086154
68.000000 -0.081236 -0.081236
69.000000 -0.076067 -0.076067
70.000000 -0.070616 -0.070616
71.000000 -0.064890 -0.064890
72.000000 -0.058909 -0.058909
73.000000 -0.052695 -0.052695
74.000000 -0.046275 -0.046275
75.000000 -0.039671 -0.039671
76.000000 -0.032910 -0.032910
77.000000 -0.026020 -0.026020
78.000000 -0.019027 -0.019027
79.000000 -0.011959 -0.011959
80.000000 -0.004844 -0.004844
81.000000 0.002290 0.002290
82.000000 0.009416 0.009416
83.000000 0.016504 0.016504
84.000000 0.023527 0.023527
85.000000 0.030457 0.030457
86.000000 0.037267 0.037267
87.000000 0.043929 0.043929
88.000000 0.050419 0.050419
89.000000 0.056710 0.056710
90.000000 0.062776 0.062776
91.000000 0.068595 0.068595
92.000000 0.074144 0.074144
93.000000 0.079399 0.079399
94.000000 0.084341 0.084341
95.000000 0.088950 0.088950
96.000000 0.093209 0.093209
97.000000 0.097100 0.097100
98.000000 0.100607 0.100607
99.000000 0.103717 0.103717
100.000000 0.106418 0.106418
101.000000 0.108699 0.108699
102.000000 0.110552 0.110552
103.000000 0.111966 0.111966
104.000000 0.112939 0.112939
105.000000 0.113469 0.113469
106.000000 0.113550 0.113550
107.000000 0.113181 0.113181
108.000000 0.112365 0.112365
109.000000 0.111108 0.111108
110.000000 0.109413 0.109413
111.000000 0.107284 0.107284
112.000000 0.104731 0.104731
113.000000 0.101766 0.101766
114.000000 0.098401 0.098401
115.000000 0.094646 0.094646
116.000000 0.090516 0.090516
117.000000 0.086030 0.086030
118.000000 0.081207 0.081207
119.000000 0.076061 0.076061
120.000000 0.070613 0.070613
121.000000 0.064888 0.064888
122.000000 0.058910 0.058910
123.000000 0.052696 0.052696
124.000000 0.046274 0.046274
125.000000 0.039670 0.039670
126.000000 0.032911 0.032911
127.000000 0.026020 0.026020
128.000000 0.019027 0.019027
129.000000 0.011958 0.011958
130.000000 0.004852 0.004852
131.000000 -0.002321 -0.002321
132.000000 -0.009292 -0.009292
133.000000 -0.016974 -0.016974
134.000000 -0.021861 -0.021861
135.000000 -0.035938 -0.035938
136.000000 -0.020556 -0.020556
137.000000 -0.090874 -0.090874
138.000000 0.070088 0.070088
139.000000 -0.335862 -0.335862
140.000000 0.508770 0.508770
141.000000 -1.062926 -1.062926
142.000000 1.261820 1.261820
143.000000 -0.992106 -0.992106
