# z Ex Hy
0.000000 0.000000 0.000000
1.000000 498856.548938 498856.548938
2.000000 1027374.963356 1027374.963356
3.000000 -1364083.903870 -1364083.903870
4.000000 -2073767.090383 -2073767.090383
5.000000 1853962.493904 1853962.493904
6.000000 3094188.650432 3094188.650432
7.000000 -1797027.015215 -1797027.015215
8.000000 -3947271.096652 -3947271.096652
9.000000 1149440.387537 1149440.387537
10.000000 4418442.478201 4418442.478201
11.000000 -40327.041091 -40327.041091
12.000000 -4303213.641684 -4303213.641684
13.000000 -1228528.195345 -1228528.195345
14.000000 3523526.838940 3523526.838940
15.000000 2259317.035954 2259317.035954
16.000000 -2217993.779050 -2217993.779050
17.000000 -2706676.682907 -2706676.682907
18.000000 738706.296262 738706.296262
19.000000 2439117.135991 2439117.135991
20.000000 474931.097899 474931.097899
21.000000 -1618711.271386 -1618711.271386
22.000000 -1097706.348815 -1097706.348815
23.000000 629154.325271 629154.325271
24.000000 1079168.571491 1079168.571491
25.000000 126786.689483 126786.689483
26.000000 -650959.889571 -650959.889571
27.000000 -439113.467138 -439113.467138
28.000000 165927.853416 165927.853416
29.000000 368948.069222 368948.069222
30.000000 119193.564843 119193.564843
31.000000 -145948.424542 -145948.424542
32.000000 -160632.948174 -160632.948174
33.000000 -20473.051391 -20473.051391
34.000000 75527.037237 75527.037237
35.000000 61874.344998 61874.344998
36.000000 2544.405351 2544.405351
37.000000 -30228.105549 -30228.105549
38.000000 -22943.250877 -22943.250877
39.000000 -1825.666512 -1825.666512
40.000000 9724.238961 9724.238961
41.000000 8245.965045 8245.965045
42.000000 1890.452963 1890.452963
43.000000 -2229.868790 -2229.868790
44.000000 -2620.228240 -2620.228240
45.000000 -1176.358878 -1176.358878
46.000000 126.883281 126.883281
47.000000 590.629898 590.629898
48.000000 455.345765 455.345765
49.000000 164.898308 164.898308
50.000000 -28.655443 -28.655443
51.000000 -87.604052 -87.604052
52.000000 -69.600333 -69.600333
53.000000 -33.282250 -33.282250
54.000000 -7.035307 -7.035307
55.000000 4.668752 4.668752
56.000000 6.932482 6.932482
57.000000 5.359842 5.359842
58.000000 3.186546 3.186546
59.000000 1.580767 1.580767
60.000000 0.657898 0.657898
61.000000 0.206828 0.206828
62.000000 0.012791 0.012791
63.000000 -0.061246 -0.061246
64.000000 -0.085451 -0.085451
65.000000 -0.090793 -0.090793
66.000000 -0.089448 -0.089448
67.000000 -0.085753 -0.085753
68.000000 -0.081138 -0.081138
69.000000 -0.076044 -0.076044
70.000000 -0.070611 -0.070611
71.000000 -0.064889 -0.064889
72.000000 -0.058908 -0.058908
73.000000 -0.052695 -0.052695
74.000000 -0.046275 -0.046275
75.000000 -0.039671 -0.039671
76.000000 -0.032910 -0.032910
77.000000 -0.026020 -0.026020
78.000000 -0.019027 -0.019027
79.000000 -0.011959 -0.011959
80.000000 -0.004844 -0.004844
81.000000 0.002290 0.002290
82.000000 0.009416 0.009416
