# z Ex Hy
0.000000 0.000000 0.000000
1.000000 0.006279 0.006279
2.000000 0.012533 0.012533
3.000000 0.018738 0.018738
4.000000 0.024869 0.024869
5.000000 0.030902 0.030902
6.000000 0.036812 0.036812
7.000000 0.042578 0.042578
8.000000 0.048175 0.048175
9.000000 0.053583 0.053583
10.000000 0.058779 0.058779
11.000000 0.063742 0.063742
12.000000 0.068455 0.068455
13.000000 0.072897 0.072897
14.000000 0.077051 0.077051
15.000000 0.080902 0.080902
16.000000 0.084433 0.084433
17.000000 0.087631 0.087631
18.000000 0.090483 0.090483
19.000000 0.092978 0.092978
20.000000 0.095106 0.095106
21.000000 0.096858 0.096858
22.000000 0.098229 0.098229
23.000000 0.099211 0.099211
24.000000 0.099803 0.099803
25.000000 0.100000 0.100000
26.000000 0.099803 0.099803
27.000000 0.099211 0.099211
28.000000 0.098229 0.098229
29.000000 0.096858 0.096858
30.000000 0.095106 0.095106
31.000000 0.092978 0.092978
32.000000 0.090483 0.090483
33.000000 0.087631 0.087631
34.000000 0.084433 0.084433
35.000000 0.080902 0.080902
36.000000 0.077051 0.077051
37.000000 0.072897 0.072897
38.000000 0.068455 0.068455
39.000000 0.063742 0.063742
40.000000 0.058779 0.058779
41.000000 0.053583 0.053583
42.000000 0.048175 0.048175
43.000000 0.042578 0.042578
44.000000 0.036812 0.036812
45.000000 0.030902 0.030902
46.000000 0.024869 0.024869
47.000000 0.018738 0.018738
48.000000 0.012533 0.012533
49.000000 0.006279 0.006279
50.000000 0.000000 0.000000
51.000000 -0.006279 -0.006279
52.000000 -0.012533 -0.012533
53.000000 -0.018738 -0.018738
54.000000 -0.024869 -0.024869
55.000000 -0.030902 -0.030902
56.000000 -0.036812 -0.036812
57.000000 -0.042578 -0.042578
58.000000 -0.048175 -0.048175
59.000000 -0.053583 -0.053583
60.000000 -0.058779 -0.058779
61.000000 -0.063742 -0.063742
62.000000 -0.068455 -0.068455
63.000000 -0.072897 -0.072897
64.000000 -0.077051 -0.077051
65.000000 -0.080902 -0.080902
66.000000 -0.084433 -0.084433
67.000000 -0.087631 -0.087631
68.000000 -0.090483 -0.090483
69.000000 -0.092978 -0.092978
70.000000 -0.095106 -0.095106
71.000000 -0.096858 -0.096858
72.000000 -0.098229 -0.098229
73.000000 -0.099211 -0.099211
74.000000 -0.099803 -0.099803
75.000000 -0.100000 -0.100000
76.000000 -0.099803 -0.099803
77.000000 -0.099211 -0.099211
78.000000 -0.098229 -0.098229
79.000000 -0.096858 -0.096858
80.000000 -0.095106 -0.095106
81.000000 -0.092978 -0.092978
82.000000 -0.090483 -0.090483
83.000000 -0.087631 -0.087631
84.000000 -0.084433 -0.084433
