# REMEMBER THAT  E[i] = E(z[i])  BUT  H[i] = H(z[i] + dz/2)
# z E H
0.00000 0.01467 0.01622
0.50000 0.01776 0.01931
1.00000 0.02084 0.02239
1.50000 0.02390 0.02544
2.00000 0.02693 0.02847
2.50000 0.02994 0.03147
3.00000 0.03292 0.03444
3.50000 0.03587 0.03738
4.00000 0.03878 0.04028
4.50000 0.04165 0.04314
5.00000 0.04448 0.04595
5.50000 0.04727 0.04872
6.00000 0.05001 0.05145
6.50000 0.05270 0.05412
7.00000 0.05534 0.05674
7.50000 0.05792 0.05930
8.00000 0.06045 0.06181
8.50000 0.06292 0.06425
9.00000 0.06532 0.06663
9.50000 0.06767 0.06894
10.00000 0.06994 0.07119
10.50000 0.07215 0.07337
11.00000 0.07428 0.07547
11.50000 0.07634 0.07750
12.00000 0.07833 0.07945
12.50000 0.08023 0.08132
13.00000 0.08206 0.08312
13.50000 0.08381 0.08483
14.00000 0.08548 0.08646
14.50000 0.08706 0.08800
15.00000 0.08855 0.08946
15.50000 0.08996 0.09083
16.00000 0.09128 0.09210
16.50000 0.09251 0.09329
17.00000 0.09365 0.09439
17.50000 0.09469 0.09539
18.00000 0.09564 0.09629
18.50000 0.09650 0.09711
19.00000 0.09726 0.09782
19.50000 0.09793 0.09845
20.00000 0.09850 0.09897
20.50000 0.09897 0.09939
21.00000 0.09935 0.09972
21.50000 0.09962 0.09995
22.00000 0.09980 0.10008
22.50000 0.09988 0.10011
23.00000 0.09986 0.10005
23.50000 0.09975 0.09988
24.00000 0.09953 0.09961
24.50000 0.09922 0.09925
25.00000 0.09880 0.09879
25.50000 0.09829 0.09823
26.00000 0.09769 0.09758
26.50000 0.09699 0.09683
27.00000 0.09619 0.09598
27.50000 0.09529 0.09504
28.00000 0.09431 0.09400
28.50000 0.09322 0.09287
29.00000 0.09205 0.09165
29.50000 0.09079 0.09034
30.00000 0.08944 0.08894
30.50000 0.08799 0.08746
31.00000 0.08647 0.08588
31.50000 0.08485 0.08422
32.00000 0.08316 0.08248
32.50000 0.08138 0.08066
33.00000 0.07952 0.07876
33.50000 0.07758 0.07678
34.00000 0.07556 0.07472
34.50000 0.07348 0.07259
35.00000 0.07131 0.07039
35.50000 0.06908 0.06812
36.00000 0.06678 0.06578
36.50000 0.06442 0.06338
37.00000 0.06199 0.06091
37.50000 0.05949 0.05839
38.00000 0.05695 0.05580
38.50000 0.05434 0.05317
39.00000 0.05168 0.05047
39.50000 0.04897 0.04773
40.00000 0.04621 0.04495
40.50000 0.04341 0.04211
41.00000 0.04056 0.03924
41.50000 0.03767 0.03633
42.00000 0.03475 0.03338
42.50000 0.03179 0.03040
43.00000 0.02880 0.02739
43.50000 0.02578 0.02435
44.00000 0.02274 0.02129
44.50000 0.01967 0.01820
45.00000 0.01658 0.01510
45.50000 0.01348 0.01199
46.00000 0.01037 0.00886
46.50000 0.00724 0.00572
47.00000 0.00411 0.00258
47.50000 0.00097 -0.00057
48.00000 -0.00217 -0.00371
48.50000 -0.00530 -0.00685
49.00000 -0.00843 -0.00998
49.50000 -0.01155 -0.01311
50.00000 -0.01467 -0.01622
50.50000 -0.01776 -0.01931
51.00000 -0.02084 -0.02239
51.50000 -0.02390 -0.02544
52.00000 -0.02693 -0.02847
52.50000 -0.02994 -0.03147
53.00000 -0.03292 -0.03444
53.50000 -0.03587 -0.03738
54.00000 -0.03878 -0.04028
54.50000 -0.04165 -0.04314
55.00000 -0.04448 -0.04595
55.50000 -0.04727 -0.04872
56.00000 -0.05001 -0.05145
56.50000 -0.05270 -0.05412
57.00000 -0.05534 -0.05674
57.50000 -0.05792 -0.05930
58.00000 -0.06045 -0.06181
58.50000 -0.06292 -0.06425
59.00000 -0.06532 -0.06663
59.50000 -0.06767 -0.06894
60.00000 -0.06994 -0.07119
60.50000 -0.07215 -0.07337
61.00000 -0.07428 -0.07547
61.50000 -0.07634 -0.07750
62.00000 -0.07833 -0.07945
62.50000 -0.08023 -0.08132
63.00000 -0.08206 -0.08312
63.50000 -0.08381 -0.08483
64.00000 -0.08548 -0.08646
64.50000 -0.08706 -0.08800
65.00000 -0.08855 -0.08946
65.50000 -0.08996 -0.09083
66.00000 -0.09128 -0.09210
66.50000 -0.09251 -0.09329
67.00000 -0.09365 -0.09439
67.50000 -0.09469 -0.09539
68.00000 -0.09564 -0.09629
68.50000 -0.09650 -0.09711
69.00000 -0.09726 -0.09782
69.50000 -0.09793 -0.09845
70.00000 -0.09850 -0.09897
70.50000 -0.09897 -0.09939
71.00000 -0.09935 -0.09972
71.50000 -0.09962 -0.09995
72.00000 -0.09980 -0.10008
72.50000 -0.09988 -0.10011
73.00000 -0.09986 -0.10005
73.50000 -0.09975 -0.09988
74.00000 -0.09953 -0.09961
74.50000 -0.09922 -0.09925
75.00000 -0.09880 -0.09879
75.50000 -0.09829 -0.09823
76.00000 -0.09769 -0.09758
76.50000 -0.09699 -0.09683
77.00000 -0.09619 -0.09598
77.50000 -0.09529 -0.09504
78.00000 -0.09431 -0.09400
78.50000 -0.09322 -0.09287
79.00000 -0.09205 -0.09165
79.50000 -0.09079 -0.09034
80.00000 -0.08944 -0.08894
80.50000 -0.08799 -0.08746
81.00000 -0.08647 -0.08588
81.50000 -0.08485 -0.08422
82.00000 -0.08316 -0.08248
82.50000 -0.08138 -0.08066
83.00000 -0.07952 -0.07876
83.50000 -0.07758 -0.07678
84.00000 -0.07556 -0.07472
84.50000 -0.07348 -0.07259
85.00000 -0.07131 -0.07039
85.50000 -0.06908 -0.06812
86.00000 -0.06678 -0.06578
86.50000 -0.06442 -0.06338
87.00000 -0.06199 -0.06091
87.50000 -0.05949 -0.05839
88.00000 -0.05695 -0.05580
88.50000 -0.05434 -0.05317
