# REMEMBER THAT  E[i] = E(z[i])  BUT  H[i] = H(z[i] + dz/2)
# z E H
0.00000 0.00000 0.00314
1.00000 0.00628 0.00941
2.00000 0.01253 0.01564
3.00000 0.01874 0.02181
4.00000 0.02487 0.02790
5.00000 0.03090 0.03387
6.00000 0.03681 0.03971
7.00000 0.04258 0.04540
8.00000 0.04818 0.05090
9.00000 0.05358 0.05621
10.00000 0.05878 0.06129
11.00000 0.06374 0.06613
12.00000 0.06845 0.07071
13.00000 0.07290 0.07501
14.00000 0.07705 0.07902
15.00000 0.08090 0.08271
16.00000 0.08443 0.08607
17.00000 0.08763 0.08910
18.00000 0.09048 0.09178
19.00000 0.09298 0.09409
20.00000 0.09511 0.09603
21.00000 0.09686 0.09759
22.00000 0.09823 0.09877
23.00000 0.09921 0.09956
24.00000 0.09980 0.09995
25.00000 0.10000 0.09995
26.00000 0.09980 0.09956
27.00000 0.09921 0.09877
28.00000 0.09823 0.09759
29.00000 0.09686 0.09603
30.00000 0.09511 0.09409
31.00000 0.09298 0.09178
32.00000 0.09048 0.08910
33.00000 0.08763 0.08607
34.00000 0.08443 0.08271
35.00000 0.08090 0.07902
36.00000 0.07705 0.07501
37.00000 0.07290 0.07071
38.00000 0.06845 0.06613
39.00000 0.06374 0.06129
40.00000 0.05878 0.05621
41.00000 0.05358 0.05090
42.00000 0.04818 0.04540
43.00000 0.04258 0.03971
44.00000 0.03681 0.03387
45.00000 0.03090 0.02790
46.00000 0.02487 0.02181
47.00000 0.01874 0.01564
48.00000 0.01253 0.00941
49.00000 0.00628 0.00314
50.00000 0.00000 -0.00314
51.00000 -0.00628 -0.00941
52.00000 -0.01253 -0.01564
53.00000 -0.01874 -0.02181
54.00000 -0.02487 -0.02790
55.00000 -0.03090 -0.03387
56.00000 -0.03681 -0.03971
57.00000 -0.04258 -0.04540
58.00000 -0.04818 -0.05090
59.00000 -0.05358 -0.05621
60.00000 -0.05878 -0.06129
61.00000 -0.06374 -0.06613
62.00000 -0.06845 -0.07071
63.00000 -0.07290 -0.07501
64.00000 -0.07705 -0.07902
65.00000 -0.08090 -0.08271
66.00000 -0.08443 -0.08607
67.00000 -0.08763 -0.08910
68.00000 -0.09048 -0.09178
69.00000 -0.09298 -0.09409
70.00000 -0.09511 -0.09603
71.00000 -0.09686 -0.09759
72.00000 -0.09823 -0.09877
73.00000 -0.09921 -0.09956
74.00000 -0.09980 -0.09995
75.00000 -0.10000 -0.09995
76.00000 -0.09980 -0.09956
77.00000 -0.09921 -0.09877
78.00000 -0.09823 -0.09759
79.00000 -0.09686 -0.09603
80.00000 -0.09511 -0.09409
81.00000 -0.09298 -0.09178
82.00000 -0.09048 -0.08910
83.00000 -0.08763 -0.08607
84.00000 -0.08443 -0.08271
85.00000 -0.08090 -0.07902
86.00000 -0.07705 -0.07501
87.00000 -0.07290 -0.07071
88.00000 -0.06845 -0.06613
89.00000 -0.06374 -0.06129
90.00000 -0.05878 -0.05621
91.00000 -0.05358 -0.05090
92.00000 -0.04818 -0.04540
93.00000 -0.04258 -0.03971
94.00000 -0.03681 -0.03387
95.00000 -0.03090 -0.02790
96.00000 -0.02487 -0.02181
97.00000 -0.01874 -0.01564
98.00000 -0.01253 -0.00941
99.00000 -0.00628 -0.00314
100.00000 -0.00000 0.00314
101.00000 0.00628 0.00941
102.00000 0.01253 0.01564
103.00000 0.01874 0.02181
104.00000 0.02487 0.02790
105.00000 0.03090 0.03387
106.00000 0.03681 0.03971
107.00000 0.04258 0.04540
108.00000 0.04818 0.05090
109.00000 0.05358 0.05621
110.00000 0.05878 0.06129
111.00000 0.06374 0.06613
112.00000 0.06845 0.07071
113.00000 0.07290 0.07501
114.00000 0.07705 0.07902
115.00000 0.08090 0.08271
116.00000 0.08443 0.08607
117.00000 0.08763 0.08910
118.00000 0.09048 0.09178
119.00000 0.09298 0.09409
120.00000 0.09511 0.09603
121.00000 0.09686 0.09759
122.00000 0.09823 0.09877
123.00000 0.09921 0.09956
124.00000 0.09980 0.09995
125.00000 0.10000 0.09995
126.00000 0.09980 0.09956
127.00000 0.09921 0.09877
128.00000 0.09823 0.09759
129.00000 0.09686 0.09603
130.00000 0.09511 0.09409
131.00000 0.09298 0.09178
132.00000 0.09048 0.08910
133.00000 0.08763 0.08607
134.00000 0.08443 0.08271
135.00000 0.08090 0.07902
136.00000 0.07705 0.07501
137.00000 0.07290 0.07071
138.00000 0.06845 0.06613
139.00000 0.06374 0.06129
140.00000 0.05878 0.05621
141.00000 0.05358 0.05090
142.00000 0.04818 0.04540
143.00000 0.04258 0.03971
144.00000 0.03681 0.03387
145.00000 0.03090 0.02790
146.00000 0.02487 0.02181
147.00000 0.01874 0.01564
148.00000 0.01253 0.00941
149.00000 0.00628 0.00314
150.00000 0.00000 -0.00314
151.00000 -0.00628 -0.00941
152.00000 -0.01253 -0.01564
153.00000 -0.01874 -0.02181
154.00000 -0.02487 -0.02790
155.00000 -0.03090 -0.03387
156.00000 -0.03681 -0.03971
157.00000 -0.04258 -0.04540
158.00000 -0.04818 -0.05090
159.00000 -0.05358 -0.05621
160.00000 -0.05878 -0.06129
161.00000 -0.06374 -0.06613
162.00000 -0.06845 -0.07071
163.00000 -0.07290 -0.07501
164.00000 -0.07705 -0.07902
165.00000 -0.08090 -0.08271
166.00000 -0.08443 -0.08607
167.00000 -0.08763 -0.08910
168.00000 -0.09048 -0.09178
169.00000 -0.09298 -0.09409
170.00000 -0.09511 -0.09603
171.00000 -0.09686 -0.09759
172.00000 -0.09823 -0.09877
173.00000 -0.09921 -0.09956
174.00000 -0.09980 -0.09995
175.00000 -0.10000 -0.09995
176.00000 -0.09980 -0.09956
177.00000 -0.09921 -0.09877
178.00000 -0.09823 -0.09759
179.00000 -0.09686 -0.09603
180.00000 -0.09511 -0.09409
181.00000 -0.09298 -0.09178
182.00000 -0.09048 -0.08910
183.00000 -0.08763 -0.08607
184.00000 -0.08443 -0.08271
185.00000 -0.08090 -0.07902
186.00000 -0.07705 -0.07501
187.00000 -0.07290 -0.07071
188.00000 -0.06845 -0.06613
189.00000 -0.06374 -0.06129
190.00000 -0.05878 -0.05621
191.00000 -0.05358 -0.05090
192.00000 -0.04818 -0.04540
193.00000 -0.04258 -0.03971
194.00000 -0.03681 -0.03387
195.00000 -0.03090 -0.02790
196.00000 -0.02487 -0.02181
197.00000 -0.01874 -0.01564
198.00000 -0.01253 -0.00941
199.00000 -0.00628 -0.00314
200.00000 -0.00000
