# REMEMBER THAT  E[i] = E(z[i])  BUT  H[i] = H(z[i] + dz/2)
# z E H
0.00000 -0.05521 -0.05783
1.00000 -0.06028 -0.06290
2.00000 -0.06512 -0.06771
3.00000 -0.06970 -0.07226
4.00000 -0.07400 -0.07652
5.00000 -0.07801 -0.08049
6.00000 -0.08171 -0.08413
7.00000 -0.08509 -0.08744
8.00000 -0.08813 -0.09041
9.00000 -0.09083 -0.09302
10.00000 -0.09317 -0.09526
11.00000 -0.09514 -0.09713
12.00000 -0.09673 -0.09861
13.00000 -0.09795 -0.09971
14.00000 -0.09877 -0.10041
15.00000 -0.09921 -0.10071
16.00000 -0.09925 -0.10062
17.00000 -0.09891 -0.10013
18.00000 -0.09817 -0.09925
19.00000 -0.09704 -0.09797
20.00000 -0.09554 -0.09631
21.00000 -0.09365 -0.09426
22.00000 -0.09140 -0.09185
23.00000 -0.08878 -0.08907
24.00000 -0.08582 -0.08594
25.00000 -0.08251 -0.08247
26.00000 -0.07888 -0.07868
27.00000 -0.07494 -0.07457
28.00000 -0.07071 -0.07017
29.00000 -0.06619 -0.06550
30.00000 -0.06141 -0.06056
31.00000 -0.05639 -0.05539
32.00000 -0.05115 -0.05000
33.00000 -0.04571 -0.04441
34.00000 -0.04008 -0.03865
35.00000 -0.03430 -0.03273
36.00000 -0.02838 -0.02668
37.00000 -0.02235 -0.02053
38.00000 -0.01624 -0.01430
39.00000 -0.01005 -0.00801
40.00000 -0.00383 -0.00169
41.00000 0.00240 0.00464
42.00000 0.00863 0.01095
43.00000 0.01483 0.01721
44.00000 0.02096 0.02341
45.00000 0.02701 0.02952
46.00000 0.03296 0.03551
47.00000 0.03877 0.04135
48.00000 0.04444 0.04704
49.00000 0.04992 0.05254
50.00000 0.05521 0.05783
51.00000 0.06028 0.06290
52.00000 0.06512 0.06771
53.00000 0.06970 0.07226
54.00000 0.07400 0.07652
55.00000 0.07801 0.08049
56.00000 0.08171 0.08413
57.00000 0.08509 0.08744
58.00000 0.08813 0.09041
59.00000 0.09083 0.09302
60.00000 0.09317 0.09526
61.00000 0.09514 0.09713
62.00000 0.09673 0.09861
63.00000 0.09795 0.09971
64.00000 0.09877 0.10041
65.00000 0.09921 0.10071
66.00000 0.09925 0.10062
67.00000 0.09891 0.10013
68.00000 0.09817 0.09925
69.00000 0.09704 0.09797
70.00000 0.09554 0.09631
71.00000 0.09365 0.09426
72.00000 0.09140 0.09185
73.00000 0.08878 0.08907
74.00000 0.08582 0.08594
75.00000 0.08251 0.08247
76.00000 0.07888 0.07868
77.00000 0.07494 0.07457
78.00000 0.07071 0.07017
79.00000 0.06619 0.06550
80.00000 0.06141 0.06056
81.00000 0.05639 0.05539
82.00000 0.05115 0.05000
83.00000 0.04571 0.04441
84.00000 0.04008 0.03865
85.00000 0.03430 0.03273
86.00000 0.02838 0.02668
87.00000 0.02235 0.02053
88.00000 0.01624 0.01430
89.00000 0.01005 0.00801
90.00000 0.00383 0.00169
91.00000 -0.00240 -0.00464
92.00000 -0.00863 -0.01095
93.00000 -0.01483 -0.01721
94.00000 -0.02096 -0.02341
95.00000 -0.02701 -0.02952
96.00000 -0.03296 -0.03551
97.00000 -0.03877 -0.04135
98.00000 -0.04444 -0.04704
99.00000 -0.04992 -0.05254
100.00000 -0.05521 -0.05783
101.00000 -0.06028 -0.06290
102.00000 -0.06512 -0.06771
103.00000 -0.06970 -0.07226
104.00000 -0.07400 -0.07652
105.00000 -0.07801 -0.08049
106.00000 -0.08171 -0.08413
107.00000 -0.08509 -0.08744
108.00000 -0.08813 -0.09041
109.00000 -0.09083 -0.09302
110.00000 -0.09317 -0.09526
111.00000 -0.09514 -0.09713
112.00000 -0.09673 -0.09861
113.00000 -0.09795 -0.09971
114.00000 -0.09877 -0.10041
115.00000 -0.09921 -0.10071
116.00000 -0.09925 -0.10062
117.00000 -0.09891 -0.10013
118.00000 -0.09817 -0.09925
119.00000 -0.09704 -0.09797
120.00000 -0.09554 -0.09631
121.00000 -0.09365 -0.09426
122.00000 -0.09140 -0.09185
123.00000 -0.08878 -0.08907
124.00000 -0.08582 -0.08594
125.00000 -0.08251 -0.08247
126.00000 -0.07888 -0.07868
127.00000 -0.07494 -0.07457
128.00000 -0.07071 -0.07017
129.00000 -0.06619 -0.06550
130.00000 -0.06141 -0.06056
131.00000 -0.05639 -0.05539
132.00000 -0.05115 -0.05000
133.00000 -0.04571 -0.04441
134.00000 -0.04008 -0.03865
135.00000 -0.03430 -0.03273
136.00000 -0.02838 -0.02668
137.00000 -0.02235 -0.02053
138.00000 -0.01624 -0.01430
139.00000 -0.01005 -0.00801
140.00000 -0.00383 -0.00169
