# REMEMBER THAT  E[i] = E(z[i])  BUT  H[i] = H(z[i] + dz/2)
# z E H
0.00000 0.00000 0.00000
1.00000 -0.11180 0.00456
2.00000 -0.11176 0.00898
3.00000 -0.11129 0.01470
4.00000 -0.11128 0.02013
5.00000 -0.11173 0.02441
6.00000 -0.11092 0.02896
7.00000 -0.10869 0.03376
8.00000 -0.10611 0.03803
9.00000 -0.10327 0.04170
10.00000 -0.10056 0.04446
11.00000 -0.09758 0.04697
12.00000 -0.09396 0.04948
13.00000 -0.08925 0.05150
14.00000 -0.08364 0.05353
15.00000 -0.07681 0.05574
16.00000 -0.06899 0.05824
17.00000 -0.06173 0.06021
18.00000 -0.05395 0.06172
19.00000 -0.04562 0.06285
20.00000 -0.03783 0.06356
21.00000 -0.03101 0.06380
22.00000 -0.02484 0.06321
23.00000 -0.01828 0.06174
24.00000 -0.01139 0.05953
25.00000 -0.00395 0.05798
26.00000 0.00377 0.05792
27.00000 0.01144 0.05804
28.00000 0.01972 0.05725
29.00000 0.02863 0.05640
30.00000 0.03769 0.05578
31.00000 0.04664 0.05503
32.00000 0.05517 0.05456
33.00000 0.06276 0.05463
34.00000 0.06954 0.05544
35.00000 0.07586 0.05662
36.00000 0.08150 0.05761
37.00000 0.08613 0.05853
38.00000 0.08986 0.05909
39.00000 0.09290 0.05947
40.00000 0.09528 0.06020
41.00000 0.09668 0.06097
42.00000 0.09697 0.06107
43.00000 0.09626 0.06028
44.00000 0.09520 0.05841
45.00000 0.09428 0.05622
46.00000 0.09264 0.05452
47.00000 0.09007 0.05309
48.00000 0.08671 0.05116
49.00000 0.08249 0.04835
50.00000 0.07775 0.04515
51.00000 0.07283 0.04254
52.00000 0.06689 0.04021
53.00000 0.05998 0.03722
54.00000 0.05337 0.03415
55.00000 0.04666 0.03145
56.00000 0.04022 0.02950
57.00000 0.03395 0.02800
58.00000 0.02658 0.02666
59.00000 0.01918 0.02635
60.00000 0.01163 0.02663
61.00000 0.00337 0.02656
62.00000 -0.00505 0.02579
63.00000 -0.01457 0.02382
64.00000 -0.02447 0.02158
65.00000 -0.03377 0.01931
66.00000 -0.04306 0.01656
67.00000 -0.05245 0.01365
68.00000 -0.06233 0.01101
69.00000 -0.07271 0.00849
70.00000 -0.08240 0.00579
71.00000 -0.09093 0.00323
72.00000 -0.09862 0.00033
73.00000 -0.10570 -0.00277
74.00000 -0.11210 -0.00624
75.00000 -0.11806 -0.01047
76.00000 -0.12415 -0.01502
77.00000 -0.12980 -0.01921
78.00000 -0.13477 -0.02354
79.00000 -0.13880 -0.02874
80.00000 -0.14175 -0.03414
81.00000 -0.14335 -0.03855
82.00000 -0.14425 -0.04288
83.00000 -0.14523 -0.04731
84.00000 -0.14583 -0.05054
85.00000 -0.14588 -0.05321
86.00000 -0.14561 -0.05563
87.00000 -0.14512 -0.05820
88.00000 -0.14384 -0.06100
89.00000 -0.14180 -0.06379
90.00000 -0.13919 -0.06622
91.00000 -0.13615 -0.06862
92.00000 -0.13306 -0.07146
93.00000 -0.12994 -0.07399
94.00000 -0.12659 -0.07626
95.00000 -0.12264 -0.07803
96.00000 -0.11833 -0.07860
97.00000 -0.11376 -0.07784
98.00000 -0.10875 -0.07693
99.00000 -0.10324 -0.07618
100.00000 -0.09791 -0.07520
101.00000 -0.09208 -0.07377
102.00000 -0.08469 -0.07190
103.00000 -0.07700 -0.06961
104.00000 -0.06957 -0.06622
105.00000 -0.06205 -0.06189
106.00000 -0.05384 -0.05756
107.00000 -0.04566 -0.05289
108.00000 -0.03782 -0.04790
109.00000 -0.02837 -0.04310
110.00000 -0.01812 -0.03878
111.00000 -0.00817 -0.03436
112.00000 0.00233 -0.02881
113.00000 0.01247 -0.02361
114.00000 0.02214 -0.01862
115.00000 0.03174 -0.01368
116.00000 0.04157 -0.00839
117.00000 0.05164 -0.00238
118.00000 0.06144 0.00339
119.00000 0.07181 0.00917
120.00000 0.08223 0.01544
121.00000 0.09089 0.02127
122.00000 0.09836 0.02617
123.00000 0.10546 0.03077
124.00000 0.11259 0.03466
125.00000 0.11947 0.03805
126.00000 0.12532 0.04102
127.00000 0.13099 0.04355
128.00000 0.13614 0.04613
129.00000 0.13987 0.04825
130.00000 0.14252 0.05007
131.00000 0.14422 0.05154
132.00000 0.14562 0.05306
133.00000 0.14709 0.05508
134.00000 0.14843 0.05685
135.00000 0.14952 0.05843
