i,z,Ex,Hy
0,0,0,0.00627905
1,1,0.0125333,0.0187381
2,2,0.024869,0.0309017
3,3,0.0368125,0.0425779
4,4,0.0481754,0.0535827
5,5,0.0587785,0.0637424
6,6,0.0684547,0.0728969
7,7,0.0770513,0.0809017
8,8,0.0844328,0.0876307
9,9,0.0904827,0.0929776
10,10,0.0951057,0.0968583
11,11,0.0982287,0.0992115
12,12,0.0998027,0.1
13,13,0.0998027,0.0992115
14,14,0.0982287,0.0968583
15,15,0.0951057,0.0929776
16,16,0.0904827,0.0876307
17,17,0.0844328,0.0809017
18,18,0.0770513,0.0728969
19,19,0.0684547,0.0637424
20,20,0.0587785,0.0535827
21,21,0.0481754,0.0425779
22,22,0.0368125,0.0309017
23,23,0.024869,0.0187381
24,24,0.0125333,0.00627905
25,25,1.22465e-17,-0.00627905
26,26,-0.0125333,-0.0187381
27,27,-0.024869,-0.0309017
28,28,-0.0368125,-0.0425779
29,29,-0.0481754,-0.0535827
30,30,-0.0587785,-0.0637424
31,31,-0.0684547,-0.0728969
32,32,-0.0770513,-0.0809017
33,33,-0.0844328,-0.0876307
34,34,-0.0904827,-0.0929776
35,35,-0.0951057,-0.0968583
36,36,-0.0982287,-0.0992115
37,37,-0.0998027,-0.1
38,38,-0.0998027,-0.0992115
39,39,-0.0982287,-0.0968583
40,40,-0.0951057,-0.0929776
41,41,-0.0904827,-0.0876307
42,42,-0.0844328,-0.0809017
43,43,-0.0770513,-0.0728969
44,44,-0.0684547,-0.0637424
45,45,-0.0587785,-0.0535827
46,46,-0.0481754,-0.0425779
47,47,-0.0368125,-0.0309017
48,48,-0.024869,-0.0187381
49,49,-0.0125333,-0.00627905
50,50,-2.44929e-17,0.00627905
51,51,0.0125333,0.0187381
52,52,0.024869,0.0309017
53,53,0.0368125,0.0425779
54,54,0.0481754,0.0535827
55,55,0.0587785,0.0637424
56,56,0.0684547,0.0728969
57,57,0.0770513,0.0809017
58,58,0.0844328,0.0876307
59,59,0.0904827,0.0929776
60,60,0.0951057,0.0968583
61,61,0.0982287,0.0992115
62,62,0.0998027,0.1
63,63,0.0998027,0.0992115
64,64,0.0982287,0.0968583
65,65,0.0951057,0.0929776
66,66,0.0904827,0.0876307
67,67,0.0844328,0.0809017
68,68,0.0770513,0.0728969
69,69,0.0684547,0.0637424
70,70,0.0587785,0.0535827
71,71,0.0481754,0.0425779
72,72,0.0368125,0.0309017
73,73,0.024869,0.0187381
74,74,0.0125333,0.00627905
75,75,3.67394e-17,-0.00627905
76,76,-0.0125333,-0.0187381
77,77,-0.024869,-0.0309017
78,78,-0.0368125,-0.0425779
79,79,-0.0481754,-0.0535827
80,80,-0.0587785,-0.0637424
81,81,-0.0684547,-0.0728969
82,82,-0.0770513,-0.0809017
83,83,-0.0844328,-0.0876307
84,84,-0.0904827,-0.0929776
85,85,-0.0951057,-0.0968583
86,86,-0.0982287,-0.0992115
87,87,-0.0998027,-0.1
88,88,-0.0998027,-0.0992115
89,89,-0.0982287,-0.0968583
90,90,-0.0951057,-0.0929776
91,91,-0.0904827,-0.0876307
92,92,-0.0844328,-0.0809017
93,93,-0.0770513,-0.0728969
94,94,-0.0684547,-0.0637424
95,95,-0.0587785,-0.0535827
96,96,-0.0481754,-0.0425779
97,97,-0.0368125,-0.0309017
98,98,-0.024869,-0.0187381
99,99,-0.0125333,-0.00627905
100,100,-4.89859e-17,0.00627905
101,101,0.0125333,0.0187381
102,102,0.024869,0.0309017
103,103,0.0368125,0.0425779
104,104,0.0481754,0.0535827
105,105,0.0587785,0.0637424
106,106,0.0684547,0.0728969
107,107,0.0770513,0.0809017
108,108,0.0844328,0.0876307
109,109,0.0904827,0.0929776
110,110,0.0951057,0.0968583
111,111,0.0982287,0.0992115
112,112,0.0998027,0.1
113,113,0.0998027,0.0992115
114,114,0.0982287,0.0968583
115,115,0.0951057,0.0929776
116,116,0.0904827,0.0876307
117,117,0.0844328,0.0809017
118,118,0.0770513,0.0728969
119,119,0.0684547,0.0637424
120,120,0.0587785,0.0535827
121,121,0.0481754,0.0425779
122,122,0.0368125,0.0309017
123,123,0.024869,0.0187381
124,124,0.0125333,0.00627905
125,125,6.12323e-17,-0.00627905
126,126,-0.0125333,-0.0187381
127,127,-0.024869,-0.0309017
128,128,-0.0368125,-0.0425779
129,129,-0.0481754,-0.0535827
130,130,-0.0587785,-0.0637424
131,131,-0.0684547,-0.0728969
132,132,-0.0770513,-0.0809017
133,133,-0.0844328,-0.0876307
134,134,-0.0904827,-0.0929776
135,135,-0.0951057,-0.0968583
136,136,-0.0982287,-0.0992115
137,137,-0.0998027,-0.1
138,138,-0.0998027,-0.0992115
139,139,-0.0982287,-0.0968583
140,140,-0.0951057,-0.0929776
141,141,-0.0904827,-0.0876307
142,142,-0.0844328,-0.0809017
143,143,-0.0770513,-0.0728969
144,144,-0.0684547,-0.0637424
145,145,-0.0587785,-0.0535827
146,146,-0.0481754,-0.0425779
147,147,-0.0368125,-0.0309017
148,148,-0.024869,-0.0187381
149,149,-0.0125333,-0.00627905
150,150,-7.34788e-17,0.00627905
151,151,0.0125333,0.0187381
152,152,0.024869,0.0309017
153,153,0.0368125,0.0425779
154,154,0.0481754,0.0535827
155,155,0.0587785,0.0637424
156,156,0.0684547,0.0728969
157,157,0.0770513,0.0809017
158,158,0.0844328,0.0876307
159,159,0.0904827,0.0929776
160,160,0.0951057,0.0968583
161,161,0.0982287,0.0992115
162,162,0.0998027,0.1
163,163,0.0998027,0.0992115
164,164,0.0982287,0.0968583
165,165,0.0951057,0.0929776
166,166,0.0904827,0.0876307
167,167,0.0844328,0.0809017
168,168,0.0770513,0.0728969
169,169,0.0684547,0.0637424
170,170,0.0587785,0.0535827
171,171,0.0481754,0.0425779
172,172,0.0368125,0.0309017
173,173,0.024869,0.0187381
174,174,0.0125333,0.00627905
175,175,8.57253e-17,-0.00627905
176,176,-0.0125333,-0.0187381
177,177,-0.024869,-0.0309017
178,178,-0.0368125,-0.0425779
179,179,-0.0481754,-0.0535827
180,180,-0.0587785,-0.0637424
181,181,-0.0684547,-0.0728969
182,182,-0.0770513,-0.0809017
183,183,-0.0844328,-0.0876307
184,184,-0.0904827,-0.0929776
185,185,-0.0951057,-0.0968583
186,186,-0.0982287,-0.0992115
187,187,-0.0998027,-0.1
188,188,-0.0998027,-0.0992115
189,189,-0.0982287,-0.0968583
190,190,-0.0951057,-0.0929776
191,191,-0.0904827,-0.0876307
192,192,-0.0844328,-0.0809017
193,193,-0.0770513,-0.0728969
194,194,-0.0684547,-0.0637424
195,195,-0.0587785,-0.0535827
196,196,-0.0481754,-0.0425779
197,197,-0.0368125,-0.0309017
198,198,-0.024869,-0.0187381
199,199,-0.0125333,-0.00627905
