i,z,Ex,Hy
0,0,0.0189483,-0.0125126
1,1,0.0315403,0.000481225
2,2,0.0436349,0.0134675
3,3,0.0550413,0.0262413
4,4,0.0655798,0.0386013
5,5,0.075084,0.0503526
6,6,0.083404,0.0613098
7,7,0.0904088,0.0713
8,8,0.0959877,0.0801659
9,9,0.100053,0.0877674
10,10,0.10254,0.0939848
11,11,0.10341,0.0987201
12,12,0.10265,0.101898
13,13,0.10027,0.10347
14,14,0.0963092,0.103409
15,15,0.0908295,0.101718
16,16,0.0839173,0.0984226
17,17,0.0756818,0.093575
18,18,0.0662526,0.0872517
19,19,0.0557787,0.0795524
20,20,0.044425,0.0705984
21,21,0.0323708,0.0605311
22,22,0.0198061,0.0495092
23,23,0.00692896,0.0377065
24,24,-0.00605741,0.0253091
25,25,-0.0189483,0.0125126
26,26,-0.0315403,-0.000481225
27,27,-0.0436349,-0.0134675
28,28,-0.0550413,-0.0262413
29,29,-0.0655798,-0.0386013
30,30,-0.075084,-0.0503526
31,31,-0.083404,-0.0613098
32,32,-0.0904088,-0.0713
33,33,-0.0959877,-0.0801659
34,34,-0.100053,-0.0877674
35,35,-0.10254,-0.0939848
36,36,-0.10341,-0.0987201
37,37,-0.10265,-0.101898
38,38,-0.10027,-0.10347
39,39,-0.0963092,-0.103409
40,40,-0.0908295,-0.101718
41,41,-0.0839173,-0.0984226
42,42,-0.0756818,-0.093575
43,43,-0.0662526,-0.0872517
44,44,-0.0557787,-0.0795524
45,45,-0.044425,-0.0705984
46,46,-0.0323708,-0.0605311
47,47,-0.0198061,-0.0495092
48,48,-0.00692896,-0.0377065
49,49,0.00605741,-0.0253091
50,50,0.0189483,-0.0125126
51,51,0.0315403,0.000481225
52,52,0.0436349,0.0134675
53,53,0.0550413,0.0262413
54,54,0.0655798,0.0386013
55,55,0.075084,0.0503526
56,56,0.083404,0.0613098
57,57,0.0904088,0.0713
58,58,0.0959877,0.0801659
59,59,0.100053,0.0877674
60,60,0.10254,0.0939848
61,61,0.10341,0.0987201
62,62,0.10265,0.101898
63,63,0.10027,0.10347
64,64,0.0963092,0.103409
65,65,0.0908295,0.101718
66,66,0.0839173,0.0984226
67,67,0.0756818,0.093575
68,68,0.0662526,0.0872517
69,69,0.0557787,0.0795524
70,70,0.044425,0.0705984
71,71,0.0323708,0.0605311
72,72,0.0198061,0.0495092
73,73,0.00692896,0.0377065
74,74,-0.00605741,0.0253091
75,75,-0.0189483,0.0125126
76,76,-0.0315403,-0.000481225
77,77,-0.0436349,-0.0134675
78,78,-0.0550413,-0.0262413
79,79,-0.0655798,-0.0386013
80,80,-0.075084,-0.0503526
81,81,-0.083404,-0.0613098
82,82,-0.0904088,-0.0713
83,83,-0.0959877,-0.0801659
84,84,-0.100053,-0.0877674
85,85,-0.10254,-0.0939848
86,86,-0.10341,-0.0987201
87,87,-0.10265,-0.101898
88,88,-0.10027,-0.10347
89,89,-0.0963092,-0.103409
90,90,-0.0908295,-0.101718
91,91,-0.0839173,-0.0984226
92,92,-0.0756818,-0.093575
93,93,-0.0662526,-0.0872517
94,94,-0.0557787,-0.0795524
95,95,-0.044425,-0.0705984
96,96,-0.0323708,-0.0605311
97,97,-0.0198061,-0.0495092
98,98,-0.00692896,-0.0377065
99,99,0.00605741,-0.0253091
100,100,0.0189483,-0.0125126
101,101,0.0315403,0.000481225
102,102,0.0436349,0.0134675
103,103,0.0550413,0.0262413
104,104,0.0655798,0.0386013
105,105,0.075084,0.0503526
106,106,0.083404,0.0613098
107,107,0.0904088,0.0713
108,108,0.0959877,0.0801659
109,109,0.100053,0.0877674
110,110,0.10254,0.0939848
111,111,0.10341,0.0987201
112,112,0.10265,0.101898
113,113,0.10027,0.10347
114,114,0.0963092,0.103409
115,115,0.0908295,0.101718
116,116,0.0839173,0.0984226
117,117,0.0756818,0.093575
118,118,0.0662526,0.0872517
119,119,0.0557787,0.0795524
120,120,0.044425,0.0705984
121,121,0.0323708,0.0605311
122,122,0.0198061,0.0495092
123,123,0.00692896,0.0377065
124,124,-0.00605741,0.0253091
125,125,-0.0189483,0.0125126
126,126,-0.0315403,-0.000481225
127,127,-0.0436349,-0.0134675
128,128,-0.0550413,-0.0262413
129,129,-0.0655798,-0.0386013
130,130,-0.075084,-0.0503526
131,131,-0.083404,-0.0613098
132,132,-0.0904088,-0.0713
133,133,-0.0959877,-0.0801659
134,134,-0.100053,-0.0877674
135,135,-0.10254,-0.0939848
136,136,-0.10341,-0.0987201
137,137,-0.10265,-0.101898
138,138,-0.10027,-0.10347
139,139,-0.0963092,-0.103409
140,140,-0.0908295,-0.101718
141,141,-0.0839173,-0.0984226
142,142,-0.0756818,-0.093575
143,143,-0.0662526,-0.0872517
144,144,-0.0557787,-0.0795524
145,145,-0.044425,-0.0705984
146,146,-0.0323708,-0.0605311
147,147,-0.0198061,-0.0495092
148,148,-0.00692896,-0.0377065
149,149,0.00605741,-0.0253091
150,150,0.0189483,-0.0125126
151,151,0.0315403,0.000481225
152,152,0.0436349,0.0134675
153,153,0.0550413,0.0262413
154,154,0.0655798,0.0386013
155,155,0.075084,0.0503526
156,156,0.083404,0.0613098
157,157,0.0904088,0.0713
158,158,0.0959877,0.0801659
159,159,0.100053,0.0877674
160,160,0.10254,0.0939848
161,161,0.10341,0.0987201
162,162,0.10265,0.101898
163,163,0.10027,0.10347
164,164,0.0963092,0.103409
165,165,0.0908295,0.101718
166,166,0.0839173,0.0984226
167,167,0.0756818,0.093575
168,168,0.0662526,0.0872517
169,169,0.0557787,0.0795524
170,170,0.044425,0.0705984
171,171,0.0323708,0.0605311
172,172,0.0198061,0.0495092
173,173,0.00692896,0.0377065
174,174,-0.00605741,0.0253091
175,175,-0.0189483,0.0125126
176,176,-0.0315403,-0.000481225
177,177,-0.0436349,-0.0134675
178,178,-0.0550413,-0.0262413
179,179,-0.0655798,-0.0386013
180,180,-0.075084,-0.0503526
181,181,-0.083404,-0.0613098
182,182,-0.0904088,-0.0713
183,183,-0.0959877,-0.0801659
184,184,-0.100053,-0.0877674
185,185,-0.10254,-0.0939848
186,186,-0.10341,-0.0987201
187,187,-0.10265,-0.101898
188,188,-0.10027,-0.10347
189,189,-0.0963092,-0.103409
190,190,-0.0908295,-0.101718
191,191,-0.0839173,-0.0984226
192,192,-0.0756818,-0.093575
193,193,-0.0662526,-0.0872517
