# t	k	Ex	Hy
0.000000	0	0.003140	0.003140
0.000000	1	0.009412	0.009406
0.000000	2	0.015648	0.015636
0.000000	3	0.021822	0.021804
0.000000	4	0.027910	0.027885
0.000000	5	0.033888	0.033857
0.000000	6	0.039732	0.039695
0.000000	7	0.045419	0.045377
0.000000	8	0.050927	0.050879
0.000000	9	0.056233	0.056181
0.000000	10	0.061318	0.061260
0.000000	11	0.066161	0.066099
0.000000	12	0.070743	0.070676
0.000000	13	0.075046	0.074974
0.000000	14	0.079053	0.078977
0.000000	15	0.082747	0.082667
0.000000	16	0.086115	0.086032
0.000000	17	0.089143	0.089057
0.000000	18	0.091819	0.091730
0.000000	19	0.094133	0.094042
0.000000	20	0.096076	0.095982
0.000000	21	0.097639	0.097544
0.000000	22	0.098817	0.098720
0.000000	23	0.099605	0.099507
0.000000	24	0.100000	0.099901
0.000000	25	0.100000	0.099901
0.000000	26	0.099606	0.099507
0.000000	27	0.098818	0.098720
0.000000	28	0.097640	0.097544
0.000000	29	0.096078	0.095982
0.000000	30	0.094135	0.094042
0.000000	31	0.091822	0.091730
0.000000	32	0.089146	0.089057
0.000000	33	0.086118	0.086032
0.000000	34	0.082751	0.082667
0.000000	35	0.079056	0.078977
0.000000	36	0.075050	0.074974
0.000000	37	0.070748	0.070676
0.000000	38	0.066166	0.066099
0.000000	39	0.061323	0.061260
0.000000	40	0.056239	0.056181
0.000000	41	0.050932	0.050879
0.000000	42	0.045424	0.045377
0.000000	43	0.039737	0.039695
0.000000	44	0.033893	0.033857
0.000000	45	0.027916	0.027885
0.000000	46	0.021828	0.021804
0.000000	47	0.015654	0.015636
0.000000	48	0.009419	0.009406
0.000000	49	0.003146	0.003140
0.000000	50	-0.003140	-0.003140
0.000000	51	-0.009412	-0.009406
0.000000	52	-0.015648	-0.015636
0.000000	53	-0.021822	-0.021804
0.000000	54	-0.027910	-0.027885
0.000000	55	-0.033888	-0.033857
0.000000	56	-0.039732	-0.039695
0.000000	57	-0.045419	-0.045377
0.000000	58	-0.050927	-0.050879
0.000000	59	-0.056233	-0.056181
0.000000	60	-0.061318	-0.061260
0.000000	61	-0.066161	-0.066099
0.000000	62	-0.070743	-0.070676
0.000000	63	-0.075046	-0.074974
0.000000	64	-0.079053	-0.078977
0.000000	65	-0.082747	-0.082667
0.000000	66	-0.086115	-0.086032
0.000000	67	-0.089143	-0.089057
0.000000	68	-0.091819	-0.091730
0.000000	69	-0.094133	-0.094042
0.000000	70	-0.096076	-0.095982
0.000000	71	-0.097639	-0.097544
0.000000	72	-0.098817	-0.098720
0.000000	73	-0.099605	-0.099507
0.000000	74	-0.100000	-0.099901
0.000000	75	-0.100000	-0.099901
0.000000	76	-0.099606	-0.099507
0.000000	77	-0.098818	-0.098720
0.000000	78	-0.097640	-0.097544
0.000000	79	-0.096078	-0.095982
0.000000	80	-0.094135	-0.094042
0.000000	81	-0.091822	-0.091730
0.000000	82	-0.089146	-0.089057
0.000000	83	-0.086118	-0.086032
0.000000	84	-0.082751	-0.082667
0.000000	85	-0.079056	-0.078977
0.000000	86	-0.075050	-0.074974
0.000000	87	-0.070748	-0.070676
0.000000	88	-0.066166	-0.066099
0.000000	89	-0.061323	-0.061260
0.000000	90	-0.056239	-0.056181
0.000000	91	-0.050932	-0.050879
0.000000	92	-0.045424	-0.045377
0.000000	93	-0.039737	-0.039695
0.000000	94	-0.033893	-0.033857
0.000000	95	-0.027916	-0.027885
0.000000	96	-0.021828	-0.021804
0.000000	97	-0.015654	-0.015636
0.000000	98	-0.009419	-0.009406
0.000000	99	-0.003146	-0.003140
0.000000	100	0.003140	0.003140
0.000000	101	0.009412	0.009406
0.000000	102	0.015648	0.015636
0.000000	103	0.021822	0.021804
0.000000	104	0.027910	0.027885
0.000000	105	0.033888	0.033857
0.000000	106	0.039732	0.039695
0.000000	107	0.045419	0.045377
0.000000	108	0.050927	0.050879
0.000000	109	0.056233	0.056181
0.000000	110	0.061318	0.061260
0.000000	111	0.066161	0.066099
0.000000	112	0.070743	0.070676
0.000000	113	0.075046	0.074974
0.000000	114	0.079053	0.078977
0.000000	115	0.082747	0.082667
0.000000	116	0.086115	0.086032
0.000000	117	0.089143	0.089057
0.000000	118	0.091819	0.091730
0.000000	119	0.094133	0.094042
0.000000	120	0.096076	0.095982
0.000000	121	0.097639	0.097544
0.000000	122	0.098817	0.098720
0.000000	123	0.099605	0.099507
0.000000	124	0.100000	0.099901
0.000000	125	0.100000	0.099901
0.000000	126	0.099606	0.099507
0.000000	127	0.098818	0.098720
0.000000	128	0.097640	0.097544
0.000000	129	0.096078	0.095982
0.000000	130	0.094135	0.094042
0.000000	131	0.091822	0.091730
0.000000	132	0.089146	0.089057
0.000000	133	0.086118	0.086032
0.000000	134	0.082751	0.082667
0.000000	135	0.079056	0.078977
0.000000	136	0.075050	0.074974
0.000000	137	0.070748	0.070676
0.000000	138	0.066166	0.066099
0.000000	139	0.061323	0.061260
0.000000	140	0.056239	0.056181
0.000000	141	0.050932	0.050879
0.000000	142	0.045424	0.045377
0.000000	143	0.039737	0.039695
0.000000	144	0.033893	0.033857
0.000000	145	0.027916	0.027885
0.000000	146	0.021828	0.021804
0.000000	147	0.015654	0.015636
0.000000	148	0.009419	0.009406
0.000000	149	0.003146	0.003140
0.000000	150	-0.003140	-0.003140
0.000000	151	-0.009412	-0.009406
0.000000	152	-0.015648	-0.015636
0.000000	153	-0.021822	-0.021804
0.000000	154	-0.027910	-0.027885
0.000000	155	-0.033888	-0.033857
0.000000	156	-0.039732	-0.039695
0.000000	157	-0.045419	-0.045377
0.000000	158	-0.050927	-0.050879
0.000000	159	-0.056233	-0.056181
0.000000	160	-0.061318	-0.061260
0.000000	161	-0.066161	-0.066099
0.000000	162	-0.070743	-0.070676
0.000000	163	-0.075046	-0.074974
0.000000	164	-0.079053	-0.078977
0.000000	165	-0.082747	-0.082667
0.000000	166	-0.086115	-0.086032
0.000000	167	-0.089143	-0.089057
0.000000	168	-0.091819	-0.091730
0.000000	169	-0.094133	-0.094042
0.000000	170	-0.096076	-0.095982
0.000000	171	-0.097639	-0.097544
0.000000	172	-0.098817	-0.098720
0.000000	173	-0.099605	-0.099507
0.000000	174	-0.100000	-0.099901
0.000000	175	-0.100000	-0.099901
0.000000	176	-0.099606	-0.099507
0.000000	177	-0.098818	-0.098720
0.000000	178	-0.097640	-0.097544
0.000000	179	-0.096078	-0.095982
0.000000	180	-0.094135	-0.094042
0.000000	181	-0.091822	-0.091730
0.000000	182	-0.089146	-0.089057
0.000000	183	-0.086118	-0.086032
0.000000	184	-0.082751	-0.082667
0.000000	185	-0.079056	-0.078977
0.000000	186	-0.075050	-0.074974
0.000000	187	-0.070748	-0.070676
0.000000	188	-0.066166	-0.066099
0.000000	189	-0.061323	-0.061260
0.000000	190	-0.056239	-0.056181
0.000000	191	-0.050932	-0.050879
0.000000	192	-0.045424	-0.045377
0.000000	193	-0.039737	-0.039695
0.000000	194	-0.033893	-0.033857
0.000000	195	-0.027916	-0.027885
0.000000	196	-0.021828	-0.021804
0.000000	197	-0.015654	-0.015636
0.000000	198	-0.009419	-0.009406
0.000000	199	-0.003146	-0.003140
2.500000	0	0.018729	0.018729
2.500000	1	0.024878	0.024841
2.500000	2	0.030929	0.030856
2.500000	3	0.036859	0.036748
2.500000	4	0.042642	0.042496
2.500000	5	0.048258	0.048076
2.500000	6	0.053683	0.053466
2.500000	7	0.058896	0.058645
2.500000	8	0.063876	0.063593
2.500000	9	0.068605	0.068289
2.500000	10	0.073063	0.072717
2.500000	11	0.077232	0.076857
2.500000	12	0.081097	0.080694
2.500000	13	0.084641	0.084212
2.500000	14	0.087852	0.087398
2.500000	15	0.090716	0.090240
2.500000	16	0.093222	0.092725
2.500000	17	0.095359	0.094844
2.500000	18	0.097121	0.096589
2.500000	19	0.098499	0.097952
2.500000	20	0.099489	0.098929
2.500000	21	0.100086	0.099516
2.500000	22	0.100288	0.099710
2.500000	23	0.100094	0.099510
2.500000	24	0.099505	0.098918
2.500000	25	0.098523	0.097935
2.500000	26	0.097153	0.096566
2.500000	27	0.095399	0.094815
2.500000	28	0.093269	0.092691
2.500000	29	0.090770	0.090200
2.500000	30	0.087914	0.087354
2.500000	31	0.084710	0.084163
2.500000	32	0.081172	0.080640
2.500000	33	0.077314	0.076798
2.500000	34	0.073151	0.072654
2.500000	35	0.068699	0.068222
2.500000	36	0.063975	0.063522
2.500000	37	0.059000	0.058571
2.500000	38	0.053791	0.053388
2.500000	39	0.048370	0.047995
2.500000	40	0.042759	0.042413
2.500000	41	0.036978	0.036663
2.500000	42	0.031052	0.030768
2.500000	43	0.025003	0.024752
2.500000	44	0.018855	0.018639
2.500000	45	0.012633	0.012451
2.500000	46	0.006361	0.006215
2.500000	47	0.000064	-0.000046
2.500000	48	-0.006233	-0.006307
2.500000	49	-0.012506	-0.012543
2.500000	50	-0.018729	-0.018729
2.500000	51	-0.024878	-0.024841
2.500000	52	-0.030929	-0.030856
2.500000	53	-0.036859	-0.036748
2.500000	54	-0.042642	-0.042496
2.500000	55	-0.048258	-0.048076
2.500000	56	-0.053683	-0.053466
2.500000	57	-0.058896	-0.058645
2.500000	58	-0.063876	-0.063593
2.500000	59	-0.068605	-0.068289
2.500000	60	-0.073063	-0.072717
2.500000	61	-0.077232	-0.076857
2.500000	62	-0.081097	-0.080694
2.500000	63	-0.084641	-0.084212
2.500000	64	-0.087852	-0.087398
2.500000	65	-0.090716	-0.090240
2.500000	66	-0.093222	-0.092725
2.500000	67	-0.095359	-0.094844
2.500000	68	-0.097121	-0.096589
2.500000	69	-0.098499	-0.097952
2.500000	70	-0.099489	-0.098929
2.500000	71	-0.100086	-0.099516
2.500000	72	-0.100288	-0.099710
2.500000	73	-0.100094	-0.099510
2.500000	74	-0.099505	-0.098918
2.500000	75	-0.098523	-0.097935
2.500000	76	-0.097153	-0.096566
2.500000	77	-0.095399	-0.094815
2.500000	78	-0.093269	-0.092691
2.500000	79	-0.090770	-0.090200
2.500000	80	-0.087914	-0.087354
2.500000	81	-0.084710	-0.084163
2.500000	82	-0.081172	-0.080640
2.500000	83	-0.077314	-0.076798
2.500000	84	-0.073151	-0.072654
2.500000	85	-0.068699	-0.068222
2.500000	86	-0.063975	-0.063522
2.500000	87	-0.059000	-0.058571
2.500000	88	-0.053791	-0.053388
2.500000	89	-0.048370	-0.047995
2.500000	90	-0.042759	-0.042413
2.500000	91	-0.036978	-0.036663
2.500000	92	-0.031052	-0.030768
2.500000	93	-0.025003	-0.024752
2.500000	94	-0.018855	-0.018639
2.500000	95	-0.012633	-0.012451
2.500000	96	-0.006361	-0.006215
2.500000	97	-0.000064	0.000046
2.500000	98	0.006233	0.006307
2.500000	99	0.012506	0.012543
2.500000	100	0.018729	0.018729
2.500000	101	0.024878	0.024841
2.500000	102	0.030929	0.030856
2.500000	103	0.036859	0.036748
2.500000	104	0.042642	0.042496
2.500000	105	0.048258	0.048076
2.500000	106	0.053683	0.053466
2.500000	107	0.058896	0.058645
2.500000	108	0.063876	0.063593
2.500000	109	0.068605	0.068289
2.500000	110	0.073063	0.072717
2.500000	111	0.077232	0.076857
2.500000	112	0.081097	0.080694
2.500000	113	0.084641	0.084212
2.500000	114	0.087852	0.087398
2.500000	115	0.090716	0.090240
2.500000	116	0.093222	0.092725
2.500000	117	0.095359	0.094844
2.500000	118	0.097121	0.096589
2.500000	119	0.098499	0.097952
2.500000	120	0.099489	0.098929
2.500000	121	0.100086	0.099516
2.500000	122	0.100288	0.099710
2.500000	123	0.100094	0.099510
