# Coeficientes FIR
6.23687e-19
0.00119497
0.00273108
0.00409819
0.00379426
-2.31292e-18
-0.00790467
-0.0177984
-0.0243611
-0.0204342
5.78923e-18
0.0384284
0.0897121
0.142616
0.183151
0.199528
0.186656
0.148172
0.0950776
0.0415838
6.40502e-18
-0.0231559
-0.0283399
-0.021316
-0.0097778
-2.96438e-18
0.00504614
0.00562764
0.00378294
0.00156734
6.97097e-19
-0.000935489

# Frecuencia (Hz)	Magnitud (dB)
0	-0.0109109
0.125	-0.0109116
0.25	-0.0109137
0.375	-0.0109172
0.5	-0.0109221
0.625	-0.0109284
0.75	-0.0109362
0.875	-0.0109453
1	-0.0109558
1.125	-0.0109677
1.25	-0.010981
1.375	-0.0109956
1.5	-0.0110117
1.625	-0.0110291
1.75	-0.0110479
1.875	-0.011068
2	-0.0110895
2.125	-0.0111123
2.25	-0.0111365
2.375	-0.011162
2.5	-0.0111888
2.625	-0.011217
2.75	-0.0112464
2.875	-0.0112771
3	-0.0113091
3.125	-0.0113424
3.25	-0.011377
3.375	-0.0114127
3.5	-0.0114498
3.625	-0.011488
3.75	-0.0115275
3.875	-0.0115681
4	-0.01161
4.125	-0.011653
4.25	-0.0116971
4.375	-0.0117424
4.5	-0.0117888
4.625	-0.0118363
4.75	-0.011885
4.875	-0.0119346
5	-0.0119854
5.125	-0.0120372
5.25	-0.01209
5.375	-0.0121438
5.5	-0.0121985
5.625	-0.0122543
5.75	-0.012311
5.875	-0.0123686
6	-0.0124271
6.125	-0.0124866
6.25	-0.0125468
6.375	-0.0126079
6.5	-0.0126699
6.625	-0.0127326
6.75	-0.0127961
6.875	-0.0128604
7	-0.0129254
7.125	-0.0129911
7.25	-0.0130575
7.375	-0.0131245
7.5	-0.0131922
7.625	-0.0132605
7.75	-0.0133294
7.875	-0.0133988
8	-0.0134688
8.125	-0.0135393
8.25	-0.0136103
8.375	-0.0136817
8.5	-0.0137536
8.625	-0.0138259
8.75	-0.0138986
8.875	-0.0139716
9	-0.0140449
9.125	-0.0141186
9.25	-0.0141925
9.375	-0.0142666
9.5	-0.014341
9.625	-0.0144156
9.75	-0.0144903
9.875	-0.0145651
10	-0.0146401
10.125	-0.0147151
10.25	-0.0147902
10.375	-0.0148653
10.5	-0.0149403
10.625	-0.0150154
10.75	-0.0150903
10.875	-0.0151652
11	-0.0152399
11.125	-0.0153145
11.25	-0.0153888
11.375	-0.015463
11.5	-0.0155369
11.625	-0.0156105
11.75	-0.0156838
11.875	-0.0157568
12	-0.0158294
12.125	-0.0159016
12.25	-0.0159733
12.375	-0.0160446
12.5	-0.0161154
12.625	-0.0161857
12.75	-0.0162555
12.875	-0.0163246
13	-0.0163932
13.125	-0.0164611
13.25	-0.0165283
13.375	-0.0165948
13.5	-0.0166606
13.625	-0.0167257
13.75	-0.0167899
13.875	-0.0168533
14	-0.0169159
14.125	-0.0169776
14.25	-0.0170384
14.375	-0.0170983
14.5	-0.0171572
14.625	-0.0172151
14.75	-0.0172719
14.875	-0.0173278
15	-0.0173825
15.125	-0.0174362
15.25	-0.0174887
15.375	-0.01754
15.5	-0.0175902
15.625	-0.0176391
15.75	-0.0176869
15.875	-0.0177333
16	-0.0177784
16.125	-0.0178223
16.25	-0.0178648
16.375	-0.0179059
16.5	-0.0179456
16.625	-0.0179839
16.75	-0.0180207
16.875	-0.0180561
17	-0.01809
17.125	-0.0181224
17.25	-0.0181533
17.375	-0.0181826
17.5	-0.0182103
