Paso 0:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	0
0.265306	0
0.285714	0
0.306122	0
0.326531	0
0.346939	0
0.367347	0
0.387755	0
0.408163	0
0.428571	0
0.44898	0
0.469388	0
0.489796	0
0.510204	100
0.530612	0
0.55102	0
0.571429	0
0.591837	0
0.612245	0
0.632653	0
0.653061	0
0.673469	0
0.693878	0
0.714286	0
0.734694	0
0.755102	0
0.77551	0
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 1:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	0
0.265306	0
0.285714	0
0.306122	0
0.326531	0
0.346939	0
0.367347	0
0.387755	0
0.408163	0
0.428571	0
0.44898	0
0.469388	0
0.489796	8.00333
0.510204	83.9933
0.530612	8.00333
0.55102	0
0.571429	0
0.591837	0
0.612245	0
0.632653	0
0.653061	0
0.673469	0
0.693878	0
0.714286	0
0.734694	0
0.755102	0
0.77551	0
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 2:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	0
0.265306	0
0.285714	0
0.306122	0
0.326531	0
0.346939	0
0.367347	0
0.387755	0
0.408163	0
0.428571	0
0.44898	0
0.469388	0.640533
0.489796	13.4445
0.510204	71.8299
0.530612	13.4445
0.55102	0.640533
0.571429	0
0.591837	0
0.612245	0
0.632653	0
0.653061	0
0.673469	0
0.693878	0
0.714286	0
0.734694	0
0.755102	0
0.77551	0
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 3:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	0
0.265306	0
0.285714	0
0.306122	0
0.326531	0
0.346939	0
0.367347	0
0.387755	0
0.408163	0
0.428571	0
0.44898	0.051264
0.469388	1.61402
0.489796	17.0926
0.510204	62.4843
0.530612	17.0926
0.55102	1.61402
0.571429	0.051264
0.591837	0
0.612245	0
0.632653	0
0.653061	0
0.673469	0
0.693878	0
0.714286	0
0.734694	0
0.755102	0
0.77551	0
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 4:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	0
0.265306	0
0.285714	0
0.306122	0
0.326531	0
0.346939	0
0.367347	0
0.387755	0
0.408163	0
0.428571	0.00410283
0.44898	0.172233
0.469388	2.72774
0.489796	19.4866
0.510204	55.2186
0.530612	19.4866
0.55102	2.72774
0.571429	0.172233
0.591837	0.00410283
0.612245	0
0.632653	0
0.653061	0
0.673469	0
0.693878	0
0.714286	0
0.734694	0
0.755102	0
0.77551	0
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 5:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	0
0.265306	0
0.285714	0
0.306122	0
0.326531	0
0.346939	0
0.367347	0
0.387755	0
0.408163	0.000328363
0.428571	0.0172305
0.44898	0.363303
0.469388	3.86449
0.489796	21.0051
0.510204	49.4991
0.530612	21.0051
0.55102	3.86449
0.571429	0.363303
0.591837	0.0172305
0.612245	0.000328363
0.632653	0
0.653061	0
0.673469	0
0.693878	0
0.714286	0
0.734694	0
0.755102	0
0.77551	0
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 6:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	0
0.265306	0
0.285714	0
0.306122	0
0.326531	0
0.346939	0
0.367347	0
0.387755	2.628e-05
0.408163	0.00165482
0.428571	0.0435752
0.44898	0.615817
0.469388	4.95609
0.489796	21.9137
0.510204	44.9382
0.530612	21.9137
0.55102	4.95609
0.571429	0.615817
0.591837	0.0435752
0.612245	0.00165482
0.632653	2.628e-05
0.653061	0
0.673469	0
0.693878	0
0.714286	0
0.734694	0
0.755102	0
0.77551	0
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 7:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	0
0.265306	0
0.285714	0
0.306122	0
0.326531	0
0.346939	0
0.367347	2.10328e-06
0.387755	0.000154514
0.408163	0.00487951
0.428571	0.0860186
0.44898	0.917386
0.469388	5.96591
0.489796	22.3993
0.510204	41.2527
0.530612	22.3993
0.55102	5.96591
0.571429	0.917386
0.591837	0.0860186
0.612245	0.00487951
0.632653	0.000154514
0.653061	2.10328e-06
0.673469	0
0.693878	0
0.714286	0
0.734694	0
0.755102	0
0.77551	0
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 8:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	0
0.265306	0
0.285714	0
0.306122	0
0.326531	0
0.346939	1.68332e-07
0.367347	1.41329e-05
0.387755	0.000520473
0.408163	0.0109952
0.428571	0.146062
0.44898	1.2549
0.469388	6.87707
0.489796	22.593
0.510204	38.2349
0.530612	22.593
0.55102	6.87707
0.571429	1.2549
0.591837	0.146062
0.612245	0.0109952
0.632653	0.000520473
0.653061	1.41329e-05
0.673469	1.68332e-07
0.693878	0
0.714286	0
0.734694	0
0.755102	0
0.77551	0
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 9:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	0
0.265306	0
0.285714	0
0.306122	0
0.326531	1.34722e-08
0.346939	1.27249e-06
0.367347	5.35394e-05
0.387755	0.00131827
0.408163	0.0209667
0.428571	0.223996
0.44898	1.61612
0.469388	7.68491
0.489796	22.5871
0.510204	35.7312
0.530612	22.5871
0.55102	7.68491
0.571429	1.61612
0.591837	0.223996
0.612245	0.0209667
0.632653	0.00131827
0.653061	5.35394e-05
0.673469	1.27249e-06
0.693878	1.34722e-08
0.714286	0
0.734694	0
0.755102	0
0.77551	0
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 10:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	0
0.265306	0
0.285714	0
0.306122	1.07822e-09
0.326531	1.13157e-07
0.346939	5.35482e-06
0.367347	0.000150577
0.387755	0.00278958
0.408163	0.0356433
0.428571	0.319163
0.44898	1.99041
0.469388	8.39187
0.489796	22.4464
0.510204	33.6272
0.530612	22.4464
0.55102	8.39187
0.571429	1.99041
0.591837	0.319163
0.612245	0.0356433
0.632653	0.00278958
0.653061	0.000150577
0.673469	5.35482e-06
0.693878	1.13157e-07
0.714286	1.07822e-09
0.734694	0
0.755102	0
0.77551	0
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 11:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	0
0.265306	0
0.285714	8.62939e-11
0.306122	9.962e-09
0.326531	5.23695e-07
0.346939	1.65579e-05
0.367347	0.000350163
0.387755	0.00520776
0.408163	0.0557049
0.428571	0.430227
0.44898	2.36898
0.469388	9.00437
0.489796	22.2164
0.510204	31.8375
0.530612	22.2164
0.55102	9.00437
0.571429	2.36898
0.591837	0.430227
0.612245	0.0557049
0.632653	0.00520776
0.653061	0.000350163
0.673469	1.65579e-05
0.693878	5.23695e-07
0.714286	9.962e-09
0.734694	8.62939e-11
0.755102	0
0.77551	0
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 12:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	0
0.265306	6.90639e-12
0.285714	8.69773e-10
0.306122	5.02874e-08
0.326531	1.76585e-06
0.346939	4.19742e-05
0.367347	0.000712233
0.387755	0.00886045
0.408163	0.0816377
0.428571	0.555418
0.44898	2.74487
0.469388	9.53072
0.489796	21.929
0.510204	30.2975
0.530612	21.929
0.55102	9.53072
0.571429	2.74487
0.591837	0.555418
0.612245	0.0816377
0.632653	0.00886045
0.653061	0.000712233
0.673469	4.19742e-05
0.693878	1.76585e-06
0.714286	5.02874e-08
0.734694	8.69773e-10
0.755102	6.90639e-12
0.77551	0
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 13:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	5.52741e-13
0.265306	7.54118e-11
0.285714	4.75577e-09
0.306122	1.83635e-07
0.326531	4.84656e-06
0.346939	9.23993e-05
0.367347	0.00131072
0.387755	0.0140329
0.408163	0.113731
0.428571	0.692728
0.44898	3.11273
0.469388	9.9799
0.489796	21.6065
0.510204	28.958
0.530612	21.6065
0.55102	9.9799
0.571429	3.11273
0.591837	0.692728
0.612245	0.113731
0.632653	0.0140329
0.653061	0.00131072
0.673469	9.23993e-05
0.693878	4.84656e-06
