# z	 E	 H
#t = 0
0	0	0
0.1	0.00627905	0.00627905
0.2	0.0125333	0.0125333
0.3	0.0187381	0.0187381
0.4	0.024869	0.024869
0.5	0.0309017	0.0309017
0.6	0.0368125	0.0368125
0.7	0.0425779	0.0425779
0.8	0.0481754	0.0481754
0.9	0.0535827	0.0535827
1	0.0587785	0.0587785
1.1	0.0637424	0.0637424
1.2	0.0684547	0.0684547
1.3	0.0728969	0.0728969
1.4	0.0770513	0.0770513
1.5	0.0809017	0.0809017
1.6	0.0844328	0.0844328
1.7	0.0876307	0.0876307
1.8	0.0904827	0.0904827
1.9	0.0929776	0.0929776
2	0.0951057	0.0951057
2.1	0.0968583	0.0968583
2.2	0.0982287	0.0982287
2.3	0.0992115	0.0992115
2.4	0.0998027	0.0998027
2.5	0.1	0.1
2.6	0.0998027	0.0998027
2.7	0.0992115	0.0992115
2.8	0.0982287	0.0982287
2.9	0.0968583	0.0968583
3	0.0951057	0.0951057
3.1	0.0929776	0.0929776
3.2	0.0904827	0.0904827
3.3	0.0876307	0.0876307
3.4	0.0844328	0.0844328
3.5	0.0809017	0.0809017
3.6	0.0770513	0.0770513
3.7	0.0728969	0.0728969
3.8	0.0684547	0.0684547
3.9	0.0637424	0.0637424
4	0.0587785	0.0587785
4.1	0.0535827	0.0535827
4.2	0.0481754	0.0481754
4.3	0.0425779	0.0425779
4.4	0.0368125	0.0368125
4.5	0.0309017	0.0309017
4.6	0.024869	0.024869
4.7	0.0187381	0.0187381
4.8	0.0125333	0.0125333
4.9	0.00627905	0.00627905
5	1.22465e-17	1.22465e-17
5.1	-0.00627905	-0.00627905
5.2	-0.0125333	-0.0125333
5.3	-0.0187381	-0.0187381
5.4	-0.024869	-0.024869
5.5	-0.0309017	-0.0309017
5.6	-0.0368125	-0.0368125
5.7	-0.0425779	-0.0425779
5.8	-0.0481754	-0.0481754
5.9	-0.0535827	-0.0535827
6	-0.0587785	-0.0587785
6.1	-0.0637424	-0.0637424
6.2	-0.0684547	-0.0684547
6.3	-0.0728969	-0.0728969
6.4	-0.0770513	-0.0770513
6.5	-0.0809017	-0.0809017
6.6	-0.0844328	-0.0844328
6.7	-0.0876307	-0.0876307
6.8	-0.0904827	-0.0904827
6.9	-0.0929776	-0.0929776
7	-0.0951057	-0.0951057
7.1	-0.0968583	-0.0968583
7.2	-0.0982287	-0.0982287
7.3	-0.0992115	-0.0992115
7.4	-0.0998027	-0.0998027
7.5	-0.1	-0.1
7.6	-0.0998027	-0.0998027
7.7	-0.0992115	-0.0992115
7.8	-0.0982287	-0.0982287
7.9	-0.0968583	-0.0968583
8	-0.0951057	-0.0951057
8.1	-0.0929776	-0.0929776
8.2	-0.0904827	-0.0904827
8.3	-0.0876307	-0.0876307
8.4	-0.0844328	-0.0844328
8.5	-0.0809017	-0.0809017
8.6	-0.0770513	-0.0770513
8.7	-0.0728969	-0.0728969
8.8	-0.0684547	-0.0684547
8.9	-0.0637424	-0.0637424
9	-0.0587785	-0.0587785
9.1	-0.0535827	-0.0535827
9.2	-0.0481754	-0.0481754
9.3	-0.0425779	-0.0425779
9.4	-0.0368125	-0.0368125
9.5	-0.0309017	-0.0309017
9.6	-0.024869	-0.024869
9.7	-0.0187381	-0.0187381
9.8	-0.0125333	-0.0125333
9.9	-0.00627905	-0.00627905
10	-2.44929e-17	-2.44929e-17
10.1	0.00627905	0.00627905
10.2	0.0125333	0.0125333
10.3	0.0187381	0.0187381
10.4	0.024869	0.024869
10.5	0.0309017	0.0309017
10.6	0.0368125	0.0368125
10.7	0.0425779	0.0425779
10.8	0.0481754	0.0481754
10.9	0.0535827	0.0535827
11	0.0587785	0.0587785
11.1	0.0637424	0.0637424
11.2	0.0684547	0.0684547
11.3	0.0728969	0.0728969
11.4	0.0770513	0.0770513
11.5	0.0809017	0.0809017
11.6	0.0844328	0.0844328
11.7	0.0876307	0.0876307
11.8	0.0904827	0.0904827
11.9	0.0929776	0.0929776
12	0.0951057	0.0951057
12.1	0.0968583	0.0968583
12.2	0.0982287	0.0982287
12.3	0.0992115	0.0992115
12.4	0.0998027	0.0998027
12.5	0.1	0.1
12.6	0.0998027	0.0998027
12.7	0.0992115	0.0992115
12.8	0.0982287	0.0982287
12.9	0.0968583	0.0968583
13	0.0951057	0.0951057
13.1	0.0929776	0.0929776
13.2	0.0904827	0.0904827
13.3	0.0876307	0.0876307
13.4	0.0844328	0.0844328
13.5	0.0809017	0.0809017
13.6	0.0770513	0.0770513
13.7	0.0728969	0.0728969
13.8	0.0684547	0.0684547
13.9	0.0637424	0.0637424
14	0.0587785	0.0587785
14.1	0.0535827	0.0535827
14.2	0.0481754	0.0481754
14.3	0.0425779	0.0425779
14.4	0.0368125	0.0368125
14.5	0.0309017	0.0309017
14.6	0.024869	0.024869
14.7	0.0187381	0.0187381
14.8	0.0125333	0.0125333
14.9	0.00627905	0.00627905
15	3.67394e-17	3.67394e-17
15.1	-0.00627905	-0.00627905
15.2	-0.0125333	-0.0125333
15.3	-0.0187381	-0.0187381
15.4	-0.024869	-0.024869
15.5	-0.0309017	-0.0309017
15.6	-0.0368125	-0.0368125
15.7	-0.0425779	-0.0425779
15.8	-0.0481754	-0.0481754
15.9	-0.0535827	-0.0535827
16	-0.0587785	-0.0587785
16.1	-0.0637424	-0.0637424
16.2	-0.0684547	-0.0684547
16.3	-0.0728969	-0.0728969
16.4	-0.0770513	-0.0770513
16.5	-0.0809017	-0.0809017
16.6	-0.0844328	-0.0844328
16.7	-0.0876307	-0.0876307
16.8	-0.0904827	-0.0904827
16.9	-0.0929776	-0.0929776
17	-0.0951057	-0.0951057
17.1	-0.0968583	-0.0968583
17.2	-0.0982287	-0.0982287
17.3	-0.0992115	-0.0992115
17.4	-0.0998027	-0.0998027
17.5	-0.1	-0.1
17.6	-0.0998027	-0.0998027
17.7	-0.0992115	-0.0992115
17.8	-0.0982287	-0.0982287
17.9	-0.0968583	-0.0968583
