x1,x2,(E1=10.0865 E2=10.7422),(E1=10.7422 E2=10.0865)
-20,-19.999,0,0
-20,-19.595,0,0
-20,-19.1909,0,0
-20,-18.7869,0,0
-20,-18.3828,0,0
-20,-17.9788,0,0
-20,-17.5748,0,0
-20,-17.1707,0,0
-20,-16.7667,0,0
-20,-16.3626,0,0
-20,-15.9586,0,0
-20,-15.5546,0,0
-20,-15.1505,0,0
-20,-14.7465,0,0
-20,-14.3424,0,0
-20,-13.9384,0,0
-20,-13.5344,0,0
-20,-13.1303,0,0
-20,-12.7263,0,0
-20,-12.3222,0,0
-20,-11.9182,0,0
-20,-11.5142,0,0
-20,-11.1101,0,0
-20,-10.7061,0,0
-20,-10.302,0,0
-20,-9.89799,0,0
-20,-9.49395,0,0
-20,-9.08991,0,0
-20,-8.68587,0,0
-20,-8.28183,0,0
-20,-7.87779,0,0
-20,-7.47375,0,0
-20,-7.06971,0,0
-20,-6.66567,0,0
-20,-6.26163,0,0
-20,-5.85759,0,0
-20,-5.45355,0,0
-20,-5.04951,0,0
-20,-4.64546,0,0
-20,-4.24142,0,0
-20,-3.83738,0,0
-20,-3.43334,0,0
-20,-3.0293,0,0
-20,-2.62526,0,0
-20,-2.22122,0,0
-20,-1.81718,0,0
-20,-1.41314,0,0
-20,-1.0091,0,0
-20,-0.605061,0,0
-20,-0.20102,0,0
-20,0.20302,0,0
-20,0.607061,0,0
-20,1.0111,0,0
-20,1.41514,0,0
-20,1.81918,0,0
-20,2.22322,0,0
-20,2.62726,0,0
-20,3.0313,0,0
-20,3.43534,0,0
-20,3.83938,0,0
-20,4.24342,0,0
-20,4.64746,0,0
-20,5.05151,0,0
-20,5.45555,0,0
-20,5.85959,0,0
-20,6.26363,0,0
-20,6.66767,0,0
-20,7.07171,0,0
-20,7.47575,0,0
-20,7.87979,0,0
-20,8.28383,0,0
-20,8.68787,0,0
-20,9.09191,0,0
-20,9.49595,0,0
-20,9.89999,0,0
-20,10.304,0,0
-20,10.7081,0,0
-20,11.1121,0,0
-20,11.5162,0,0
-20,11.9202,0,0
-20,12.3242,0,0
-20,12.7283,0,0
-20,13.1323,0,0
-20,13.5364,0,0
-20,13.9404,0,0
-20,14.3444,0,0
-20,14.7485,0,0
-20,15.1525,0,0
-20,15.5566,0,0
-20,15.9606,0,0
-20,16.3646,0,0
-20,16.7687,0,0
-20,17.1727,0,0
-20,17.5768,0,0
-20,17.9808,0,0
-20,18.3848,0,0
-20,18.7889,0,0
-20,19.1929,0,0
-20,19.597,0,0
-20,20.001,0,0
-19.596,-19.999,1.25056e-14,1.25056e-14
-19.596,-19.595,4.90379e-14,4.90379e-14
-19.596,-19.1909,6.64873e-08,6.64873e-08
-19.596,-18.7869,9.2363e-07,9.2363e-07
-19.596,-18.3828,4.74379e-06,4.74379e-06
-19.596,-17.9788,1.46998e-05,1.46998e-05
-19.596,-17.5748,3.27545e-05,3.27545e-05
-19.596,-17.1707,5.70311e-05,5.70311e-05
-19.596,-16.7667,8.1081e-05,8.1081e-05
-19.596,-16.3626,9.63272e-05,9.63272e-05
-19.596,-15.9586,9.65583e-05,9.65583e-05
-19.596,-15.5546,8.15468e-05,8.15468e-05
-19.596,-15.1505,5.72413e-05,5.72413e-05
-19.596,-14.7465,3.23692e-05,3.23692e-05
-19.596,-14.3424,1.38121e-05,1.38121e-05
-19.596,-13.9384,3.80245e-06,3.80245e-06
-19.596,-13.5344,3.76006e-07,3.76006e-07
-19.596,-13.1303,3.91477e-08,3.91477e-08
-19.596,-12.7263,2.81828e-07,2.81828e-07
-19.596,-12.3222,3.12741e-07,3.12741e-07
-19.596,-11.9182,2.84824e-07,2.84824e-07
-19.596,-11.5142,5.12054e-07,5.12054e-07
-19.596,-11.1101,1.70972e-06,1.70972e-06
-19.596,-10.7061,5.75315e-06,5.75315e-06
-19.596,-10.302,1.54939e-05,1.54939e-05
-19.596,-9.89799,3.28724e-05,3.28724e-05
-19.596,-9.49395,5.63681e-05,5.63681e-05
-19.596,-9.08991,8.001e-05,8.001e-05
-19.596,-8.68587,9.54353e-05,9.54353e-05
-19.596,-8.28183,9.62039e-05,9.62039e-05
-19.596,-7.87779,8.16038e-05,8.16038e-05
