x,T=1,T=10,T=50,T=100,T=150,T=200,T=250,T=300
-30,0,0,0,0,0,0,0,0
-29.9399,1.09459e-07,0.00325307,0.00830955,0.00934538,0.00971872,0.00991096,0.0100281,0.010107
-29.8799,4.34075e-07,0.0128535,0.0328219,0.0369118,0.0383859,0.0391449,0.0396076,0.039919
-29.8198,9.62735e-07,0.028334,0.0723126,0.0813179,0.0845634,0.0862346,0.0872532,0.087939
-29.7598,1.67749e-06,0.0489462,0.124822,0.140353,0.14595,0.148832,0.150588,0.151771
-29.6997,2.5544e-06,0.0737038,0.187768,0.211105,0.219515,0.223845,0.226484,0.22826
-29.6396,3.5646e-06,0.10144,0.258103,0.290136,0.301678,0.307621,0.311243,0.313681
-29.5796,4.67564e-06,0.130872,0.332483,0.373677,0.388518,0.396159,0.400816,0.403951
-29.5195,5.85288e-06,0.160677,0.407467,0.457848,0.475995,0.485339,0.491033,0.494866
-29.4595,7.06106e-06,0.189561,0.479703,0.538873,0.560184,0.571154,0.57784,0.582341
-29.3994,8.2657e-06,0.216335,0.54612,0.613296,0.637485,0.649937,0.657524,0.662632
-29.3393,9.43455e-06,0.23997,0.604089,0.678159,0.704823,0.718548,0.726911,0.732541
-29.2793,1.05388e-05,0.259652,0.651555,0.731152,0.759799,0.774543,0.783527,0.789574
-29.2192,1.15541e-05,0.27482,0.687133,0.770727,0.800803,0.816281,0.825711,0.832059
-29.1592,1.24611e-05,0.285183,0.710157,0.796145,0.827072,0.842986,0.852681,0.859207
-29.0991,1.32464e-05,0.290726,0.72069,0.807491,0.838699,0.854754,0.864535,0.871118
-29.039,1.39022e-05,0.291694,0.719479,0.805622,0.83658,0.852504,0.862205,0.868733
-28.979,1.44261e-05,0.288568,0.707879,0.792081,0.822327,0.837882,0.847357,0.853733
-28.9189,1.48214e-05,0.282016,0.687737,0.768963,0.798125,0.81312,0.822252,0.828398
-28.8589,1.50954e-05,0.272849,0.661253,0.73876,0.766572,0.78087,0.789576,0.795435
-28.7988,1.52596e-05,0.261958,0.630819,0.704181,0.73049,0.744012,0.752245,0.757785
-28.7387,1.5328e-05,0.250254,0.598864,0.667968,0.692736,0.705464,0.713212,0.718425
-28.6787,1.53164e-05,0.238611,0.567692,0.632724,0.656021,0.667989,0.675275,0.680177
-28.6186,1.52414e-05,0.227814,0.539344,0.60075,0.622738,0.634032,0.640907,0.645532
-28.5586,1.51193e-05,0.21851,0.515485,0.573917,0.594834,0.605577,0.612116,0.616514
-28.4985,1.49655e-05,0.211181,0.497314,0.553571,0.573706,0.584048,0.590342,0.594576
-28.4384,1.47934e-05,0.206119,0.485517,0.540474,0.560145,0.570249,0.576399,0.580535
-28.3784,1.46145e-05,0.203423,0.480258,0.534796,0.554324,0.564354,0.57046,0.574567
-28.3183,1.44375e-05,0.203006,0.481199,0.536143,0.555824,0.565936,0.572091,0.576232
-28.2583,1.42683e-05,0.204614,0.487562,0.54362,0.563712,0.574036,0.580322,0.584551
-28.1982,1.41105e-05,0.207856,0.498213,0.555933,0.576632,0.587272,0.59375,0.598108
-28.1381,1.39652e-05,0.212244,0.511767,0.571505,0.592941,0.603961,0.610671,0.615187
-28.0781,1.38314e-05,0.217235,0.52671,0.588615,0.61084,0.622267,0.629227,0.63391
-28.018,1.37067e-05,0.222274,0.541515,0.605532,0.628524,0.640348,0.64755,0.652396
-27.958,1.35878e-05,0.22684,0.554762,0.620645,0.644315,0.656489,0.663904,0.668895
-27.8979,1.34707e-05,0.230479,0.565237,0.632582,0.656782,0.66923,0.676813,0.681916
-27.8378,1.33515e-05,0.232842,0.572014,0.640297,0.664838,0.677461,0.685151,0.690326
-27.7778,1.3227e-05,0.233697,0.57451,0.643137,0.667801,0.680489,0.688217,0.693419
-27.7177,1.30945e-05,0.232951,0.572513,0.640867,0.665432,0.678068,0.685765,0.690945
-27.6577,1.29526e-05,0.23064,0.56618,0.633673,0.657926,0.6704,0.677998,0.683112
-27.5976,1.28012e-05,0.226928,0.556006,0.622123,0.645876,0.658093,0.665534,0.670542
-27.5375,1.2641e-05,0.222083,0.54277,0.607107,0.630215,0.642098,0.649336,0.654207
-27.4775,1.24741e-05,0.216453,0.527461,0.589752,0.612119,0.62362,0.630624,0.635338
-27.4174,1.23035e-05,0.210434,0.511195,0.571327,0.592912,0.604009,0.610768,0.615316
-27.3574,1.21327e-05,0.204442,0.495119,0.553135,0.573954,0.584656,0.591174,0.595559
-27.2973,1.19655e-05,0.19887,0.480322,0.536412,0.556534,0.566877,0.573176,0.577414
-27.2372,1.18059e-05,0.194068,0.467753,0.522232,0.541772,0.551816,0.557932,0.562047
-27.1772,1.16572e-05,0.190312,0.458151,0.511433,0.530542,0.540363,0.546344,0.550367
-27.1171,1.15224e-05,0.187786,0.451999,0.504558,0.523407,0.533096,0.538995,0.542964
-27.0571,1.14037e-05,0.186575,0.449494,0.501826,0.520597,0.530245,0.536119,0.540072
-26.997,1.13023e-05,0.186655,0.450545,0.50313,0.521995,0.531693,0.537598,0.541571
-26.9369,1.12183e-05,0.187909,0.454791,0.508055,0.527169,0.536995,0.542979,0.547005
-26.8769,1.11509e-05,0.190132,0.461638,0.515923,0.53541,0.545428,0.55153,0.555636
-26.8168,1.10986e-05,0.193055,0.47032,0.525861,0.545804,0.55606,0.562306,0.566509
-26.7568,1.1059e-05,0.196366,0.479961,0.536872,0.557313,0.567826,0.574229,0.578538
-26.6967,1.10293e-05,0.199739,0.489651,0.547921,0.568857,0.579624,0.586183,0.590597
-26.6366,1.10065e-05,0.202861,0.498521,0.558022,0.579404,0.590403,0.597102,0.601611
-26.5766,1.09877e-05,0.205453,0.505807,0.566307,0.588052,0.599238,0.606052,0.610638
-26.5165,1.09701e-05,0.207293,0.510909,0.572099,0.594094,0.605408,0.612301,0.61694
-26.4565,1.09516e-05,0.208233,0.513434,0.574953,0.597066,0.608442,0.615372,0.620036
-26.3964,1.09304e-05,0.208205,0.513219,0.574686,0.59678,0.608146,0.615069,0.619729
-26.3363,1.09059e-05,0.207229,0.510336,0.571385,0.593326,0.604612,0.611488,0.616115
-26.2763,1.08778e-05,0.205401,0.505079,0.565385,0.587056,0.598202,0.604992,0.609562
-26.2162,1.08467e-05,0.202889,0.497931,0.557238,0.578547,0.589506,0.596181,0.600674
-26.1562,1.0814e-05,0.199913,0.489521,0.547663,0.568548,0.579289,0.585831,0.590233
-26.0961,1.07814e-05,0.196728,0.480569,0.537477,0.557914,0.568423,0.574824,0.579132
-26.036,1.07509e-05,0.193601,0.471822,0.52753,0.547532,0.557817,0.56408,0.568295
-25.976,1.07247e-05,0.190789,0.463994,0.518635,0.538249,0.548334,0.554476,0.558609
-25.9159,1.07047e-05,0.188517,0.457711,0.511501,0.530807,0.540732,0.546777,0.550844
-25.8559,1.06928e-05,0.186964,0.453458,0.506679,0.525779,0.535598,0.541578,0.545602
-25.7958,1.06902e-05,0.186247,0.451551,0.504525,0.523536,0.533309,0.539261,0.543266
-25.7357,1.06977e-05,0.186414,0.452106,0.505171,0.524215,0.534006,0.539968,0.54398
-25.6757,1.07153e-05,0.187439,0.455045,0.508524,0.527719,0.537587,0.543597,0.547641
-25.6156,1.07423e-05,0.189233,0.460097,0.514276,0.533725,0.543725,0.549815,0.553914
-25.5556,1.07777e-05,0.191644,0.466835,0.521939,0.541724,0.551897,0.558093,0.562262
-25.4955,1.08197e-05,0.194478,0.474705,0.530883,0.551057,0.561431,0.56775,0.572002
-25.4354,1.08662e-05,0.197511,0.483081,0.540393,0.560979,0.571566,0.578015,0.582354
-25.3754,1.09147e-05,0.200509,0.49131,0.549731,0.570719,0.581513,0.588088,0.592513
-25.3153,1.09629e-05,0.203249,0.498772,0.558189,0.579538,0.590519,0.597207,0.601709
-25.2553,1.10085e-05,0.205534,0.504923,0.565153,0.586796,0.597928,0.604709,0.609273
-25.1952,1.10494e-05,0.207208,0.509342,0.570143,0.591992,0.60323,0.610076,0.614683
-25.1351,1.1084e-05,0.20817,0.511757,0.572851,0.594805,0.606098,0.612977,0.617607
-25.0751,1.11113e-05,0.208379,0.512063,0.573162,0.595117,0.60641,0.613289,0.617919
-25.015,1.11307e-05,0.207853,0.51033,0.571156,0.593012,0.604253,0.6111,0.615708
-24.955,1.11423e-05,0.206672,0.50679,0.567098,0.588765,0.599908,0.606696,0.611264
-24.8949,1.11466e-05,0.204964,0.501811,0.56141,0.582818,0.593828,0.600535,0.605048
-24.8348,1.11447e-05,0.202896,0.49587,0.554633,0.575737,0.58659,0.593201,0.597649
-24.7748,1.1138e-05,0.20066,0.489505,0.54738,0.568162,0.578849,0.585358,0.589738
-24.7147,1.1128e-05,0.198454,0.483272,0.540286,0.560755,0.57128,0.57769,0.582003
-24.6547,1.11164e-05,0.196467,0.477702,0.53395,0.554142,0.564524,0.570846,0.575101
-24.5946,1.11047e-05,0.194865,0.473252,0.528895,0.548867,0.559136,0.565389,0.569597
-24.5345,1.10942e-05,0.193776,0.470274,0.525519,0.545347,0.55554,0.561748,0.565926
-24.4745,1.10859e-05,0.193281,0.468987,0.524069,0.543838,0.554002,0.560191,0.564356
-24.4144,1.10801e-05,0.193408,0.46946,0.524624,0.544423,0.554602,0.560801,0.564973
-24.3544,1.10771e-05,0.194132,0.471614,0.527091,0.547005,0.557243,0.563479,0.567674
-24.2943,1.10763e-05,0.195376,0.475228,0.531219,0.551319,0.561654,0.567948,0.572184
-24.2342,1.10768e-05,0.19702,0.479959,0.536616,0.556959,0.567419,0.57379,0.578077
-24.1742,1.10776e-05,0.198913,0.485376,0.542793,0.563411,0.574014,0.580472,0.584817
-24.1141,1.10771e-05,0.200883,0.490996,0.549197,0.570101,0.580852,0.587399,0.591805
-24.0541,1.10738e-05,0.202751,0.496322,0.555267,0.57644,0.58733,0.593963,0.598426
-23.994,1.10661e-05,0.204351,0.500888,0.560469,0.581874,0.592883,0.599589,0.604101
-23.9339,1.10527e-05,0.205538,0.504291,0.564349,0.585927,0.597025,0.603785,0.608335
-23.8739,1.10325e-05,0.206202,0.506229,0.566562,0.58824,0.59939,0.606182,0.610752
-23.8138,1.10046e-05,0.206275,0.506521,0.566903,0.588599,0.599758,0.606556,0.61113
-23.7538,1.09688e-05,0.205737,0.505116,0.565316,0.586947,0.598072,0.604849,0.60941
-23.6937,1.09251e-05,0.204618,0.502102,0.561902,0.583388,0.594438,0.601169,0.605699
-23.6336,1.08743e-05,0.202991,0.497691,0.556903,0.578175,0.589115,0.595779,0.600264
-23.5736,1.08173e-05,0.200968,0.492202,0.55068,0.571687,0.58249,0.589071,0.593499
-23.5135,1.07553e-05,0.19869,0.486031,0.543687,0.564396,0.575046,0.581532,0.585897
-23.4535,1.06901e-05,0.196314,0.47962,0.536426,0.556826,0.567317,0.573707,0.578007
-23.3934,1.06232e-05,0.194003,0.473419,0.529408,0.549513,0.559852,0.566148,0.570385
-23.3333,1.05564e-05,0.191908,0.467852,0.523114,0.542957,0.553159,0.559373,0.563555
-23.2733,1.04912e-05,0.190159,0.463277,0.517953,0.537583,0.547677,0.553824,0.557961
-23.2132,1.04289e-05,0.188855,0.459966,0.514231,0.533713,0.543731,0.549832,0.553937
-23.1532,1.03707e-05,0.188057,0.45808,0.512131,0.531537,0.541515,0.547592,0.551681
-23.0931,1.0317e-05,0.187781,0.457659,0.511698,0.5311,0.541076,0.547152,0.551241
-23.033,1.02682e-05,0.188002,0.458623,0.512838,0.532306,0.542316,0.548413,0.552515
-22.973,1.02242e-05,0.188653,0.460779,0.515333,0.534924,0.544999,0.551135,0.555264
-22.9129,1.01845e-05,0.189635,0.463841,0.518856,0.538616,0.548777,0.554966,0.559131
-22.8529,1.01484e-05,0.190822,0.467456,0.523004,0.542958,0.55322,0.559471,0.563677
-22.7928,1.01149e-05,0.192076,0.471231,0.527331,0.547486,0.557852,0.564167,0.568416
-22.7327,1.0083e-05,0.193256,0.474772,0.531388,0.551731,0.562194,0.568568,0.572857
-22.6727,1.00518e-05,0.194231,0.477712,0.534757,0.555256,0.565801,0.572223,0.576546
-22.6126,1.00203e-05,0.194891,0.479742,0.537089,0.557698,0.568299,0.574756,0.579102
-22.5526,9.98811e-06,0.195154,0.48064,0.538129,0.55879,0.569418,0.575892,0.580249
-22.4925,9.95473e-06,0.194976,0.480281,0.537737,0.558387,0.569009,0.575479,0.579834
-22.4324,9.92019e-06,0.194351,0.478652,0.535899,0.556473,0.567056,0.573503,0.577842
-22.3724,9.88486e-06,0.193311,0.475851,0.532726,0.553165,0.563679,0.570083,0.574393
-22.3123,9.84941e-06,0.191925,0.472072,0.528441,0.548697,0.559115,0.565462,0.569733
-22.2523,9.81482e-06,0.190294,0.467598,0.523363,0.5434,0.553706,0.559983,0.564208
-22.1922,9.7823e-06,0.188536,0.462765,0.517878,0.537678,0.547862,0.554065,0.558239
-22.1321,9.75319e-06,0.186785,0.457945,0.512406,0.531969,0.542031,0.54816,0.552284
-22.0721,9.72885e-06,0.185172,0.453505,0.507366,0.526713,0.536662,0.542722,0.5468
-22.012,9.7106e-06,0.183821,0.449787,0.503147,0.522311,0.532167,0.53817,0.542209
-21.952,9.69961e-06,0.182832,0.447073,0.500068,0.5191,0.528888,0.534849,0.53886
-21.8919,9.69678e-06,0.18228,0.445568,0.498361,0.517321,0.527071,0.533009,0.537005
-21.8318,9.70272e-06,0.182206,0.445379,0.49815,0.517102,0.526847,0.532783,0.536778
-21.7718,9.71771e-06,0.182615,0.446516,0.499443,0.518451,0.528226,0.53418,0.538186
-21.7117,9.74166e-06,0.183475,0.448885,0.502134,0.521259,0.531094,0.537084,0.541115
