t_index,z,Ex,Hy
0,0,0,0
0,1,0.00627905,0.00627905
0,2,0.0125333,0.0125333
0,3,0.0187381,0.0187381
0,4,0.024869,0.024869
0,5,0.0309017,0.0309017
0,6,0.0368125,0.0368125
0,7,0.0425779,0.0425779
0,8,0.0481754,0.0481754
0,9,0.0535827,0.0535827
0,10,0.0587785,0.0587785
0,11,0.0637424,0.0637424
0,12,0.0684547,0.0684547
0,13,0.0728969,0.0728969
0,14,0.0770513,0.0770513
0,15,0.0809017,0.0809017
0,16,0.0844328,0.0844328
0,17,0.0876307,0.0876307
0,18,0.0904827,0.0904827
0,19,0.0929776,0.0929776
0,20,0.0951057,0.0951057
0,21,0.0968583,0.0968583
0,22,0.0982287,0.0982287
0,23,0.0992115,0.0992115
0,24,0.0998027,0.0998027
0,25,0.1,0.1
0,26,0.0998027,0.0998027
0,27,0.0992115,0.0992115
0,28,0.0982287,0.0982287
0,29,0.0968583,0.0968583
0,30,0.0951057,0.0951057
0,31,0.0929776,0.0929776
0,32,0.0904827,0.0904827
0,33,0.0876307,0.0876307
0,34,0.0844328,0.0844328
0,35,0.0809017,0.0809017
0,36,0.0770513,0.0770513
0,37,0.0728969,0.0728969
0,38,0.0684547,0.0684547
0,39,0.0637424,0.0637424
0,40,0.0587785,0.0587785
0,41,0.0535827,0.0535827
0,42,0.0481754,0.0481754
0,43,0.0425779,0.0425779
0,44,0.0368125,0.0368125
0,45,0.0309017,0.0309017
0,46,0.024869,0.024869
0,47,0.0187381,0.0187381
0,48,0.0125333,0.0125333
0,49,0.00627905,0.00627905
0,50,1.22465e-17,1.22465e-17
0,51,-0.00627905,-0.00627905
0,52,-0.0125333,-0.0125333
0,53,-0.0187381,-0.0187381
0,54,-0.024869,-0.024869
0,55,-0.0309017,-0.0309017
0,56,-0.0368125,-0.0368125
0,57,-0.0425779,-0.0425779
0,58,-0.0481754,-0.0481754
0,59,-0.0535827,-0.0535827
0,60,-0.0587785,-0.0587785
0,61,-0.0637424,-0.0637424
0,62,-0.0684547,-0.0684547
0,63,-0.0728969,-0.0728969
0,64,-0.0770513,-0.0770513
0,65,-0.0809017,-0.0809017
0,66,-0.0844328,-0.0844328
0,67,-0.0876307,-0.0876307
0,68,-0.0904827,-0.0904827
0,69,-0.0929776,-0.0929776
0,70,-0.0951057,-0.0951057
0,71,-0.0968583,-0.0968583
0,72,-0.0982287,-0.0982287
0,73,-0.0992115,-0.0992115
0,74,-0.0998027,-0.0998027
0,75,-0.1,-0.1
0,76,-0.0998027,-0.0998027
